Rank,Model,Epoch,Weighted_Brier,Avg_Brier,Median_Brier,Min_Brier,Max_Brier,Weighted_Accuracy,Avg_Accuracy,Weighted_F1,Avg_F1,Median_F1,Avg_Precision,Avg_Recall,Median_Threshold,Total_Samples,Total_Datasets,Two_Class,Single_Class
1,CNN_LSTM,1,0.0425,0.3196,0.1735,0.0002,0.8394,0.9608,0.6568,0.9753,0.4659,0.4429,0.4931,0.4428,0.98599900,186598,10,4,6
2,CNN_LSTM,20,0.0439,0.3222,0.1443,0.0030,0.8509,0.9424,0.6432,0.9644,0.4586,0.4337,0.4828,0.4373,0.80349900,186598,10,4,6
3,CNN_LSTM,100,0.0467,0.3243,0.1604,0.0054,0.8485,0.9414,0.6437,0.9638,0.4583,0.4335,0.4837,0.4362,0.83049900,186598,10,4,6
4,CNN_LSTM,50,0.0951,0.3335,0.1440,0.0251,0.8467,0.8486,0.6210,0.9049,0.4277,0.4017,0.4842,0.3839,0.80749900,186598,10,4,6
5,CNN_LSTM,10,0.1448,0.3482,0.1587,0.0260,0.8553,0.9300,0.5971,0.9568,0.4588,0.4373,0.6883,0.4500,0.27700000,186598,10,4,6
6,CNN_LSTM,5,0.2552,0.3782,0.2539,0.0257,0.8610,0.9363,0.5925,0.9605,0.4577,0.4332,0.6839,0.4523,0.23200100,186598,10,4,6
7,Wav2Vec2_GaussianNoise,5,0.2747,0.2756,0.2734,0.0108,0.8492,0.5453,0.6232,0.6577,0.3989,0.3709,0.5370,0.3368,0.54113591,186598,10,4,6
8,Wav2Vec2_Vanilla,1,0.4018,0.2891,0.3127,0.0492,0.5596,0.6500,0.6513,0.7547,0.4035,0.3768,0.4794,0.3530,0.32823363,186598,10,4,6
9,Wav2Vec2_BandPassSurefire,5,0.4255,0.2666,0.1947,0.0207,0.6735,0.5076,0.6869,0.6223,0.5516,0.5015,0.8314,0.4552,0.33254519,186598,10,4,6
10,Wav2Vec2_GaussianAndBandPass,5,0.4278,0.2741,0.2464,0.0721,0.4834,0.5116,0.6589,0.6339,0.5986,0.5823,0.7462,0.5440,0.31621444,186598,10,4,6
11,Wav2Vec2_GaussianNoise,1,0.4300,0.3135,0.3311,0.0543,0.5971,0.9597,0.6739,0.9747,0.4681,0.4476,0.4988,0.4423,0.30406919,186598,10,4,6
12,Wav2Vec2_BandPassSurefire,1,0.4681,0.3055,0.3272,0.0496,0.5569,0.4795,0.6715,0.5959,0.5802,0.5293,0.7640,0.5008,0.28066015,186598,10,4,6
13,Wav2Vec2_Vanilla,5,0.4739,0.3080,0.2495,0.0119,0.8036,0.3964,0.6339,0.4907,0.4892,0.4022,0.8404,0.3885,0.34963050,186598,10,4,6
14,Wav2Vec2_GaussianAndBandPass,1,0.5565,0.3591,0.3893,0.0309,0.6593,0.9584,0.7586,0.9741,0.5607,0.5931,0.7174,0.5133,0.20276141,186598,10,4,6
15,Wav2Vec2_AllAugments,1,0.7292,0.3658,0.3720,0.0358,0.8318,0.1123,0.5404,0.0615,0.3627,0.2738,0.4389,0.4206,0.21487400,186598,10,4,6
16,Wav2Vec2_GaussianNoise,10,0.7952,0.4839,0.5385,0.0004,0.9749,0.5353,0.6505,0.6513,0.5290,0.4842,0.7986,0.4435,0.02706548,186598,10,4,6
17,Wav2Vec2_Clipped,1,0.8218,0.3857,0.3533,0.0095,0.9410,0.1255,0.6005,0.0595,0.3870,0.3460,0.5188,0.4221,0.12388600,186598,10,4,6
18,Wav2Vec2_BandPassSurefire,10,0.8286,0.4927,0.5372,0.0003,0.9524,0.6195,0.7275,0.7327,0.6812,0.6880,0.8285,0.6059,0.02587248,186598,10,4,6
19,Wav2Vec2_Vanilla,10,0.8308,0.4991,0.5381,0.0003,0.9689,0.5343,0.6857,0.6495,0.6134,0.5812,0.8774,0.5047,0.02434713,186598,10,4,6
20,Wav2Vec2_GaussianAndBandPass,10,0.8651,0.5049,0.5468,0.0009,0.9804,0.7327,0.5143,0.8417,0.6909,0.7029,0.5922,0.9416,0.00554129,186598,10,4,6
21,Wav2Vec2_AllAugments,5,0.8691,0.5209,0.5569,0.0003,0.9851,0.8090,0.5291,0.8902,0.7081,0.7147,0.5954,0.9773,0.00661154,186598,10,4,6
22,Wav2Vec2_BandPassSurefire,15,0.8732,0.5302,0.5709,0.0000,0.9895,0.5515,0.6979,0.6725,0.6491,0.6475,0.7808,0.5852,0.00466282,186598,10,4,6
23,Wav2Vec2_GaussianNoise,15,0.8752,0.5326,0.5698,0.0000,0.9956,0.3211,0.5754,0.3987,0.4613,0.3886,0.7572,0.3817,0.00406790,186598,10,4,6
24,Wav2Vec2_GaussianAndBandPass,15,0.8757,0.5298,0.5709,0.0000,0.9918,0.2952,0.5700,0.3890,0.5775,0.5820,0.7018,0.5592,0.00458697,186598,10,4,6
25,Wav2Vec2_Clipped,5,0.8771,0.5288,0.5651,0.0001,0.9938,0.8831,0.5386,0.9334,0.7184,0.7132,0.5963,1.0000,0.00228136,186598,10,4,6
26,Wav2Vec2_AllAugments,10,0.8778,0.5333,0.5723,0.0000,0.9942,0.8815,0.5400,0.9325,0.7185,0.7139,0.5968,0.9989,0.00215925,186598,10,4,6
27,Wav2Vec2_AllAugments,15,0.8795,0.5352,0.5746,0.0000,0.9961,0.1169,0.4615,0.0000,0.0000,0.0000,0.0000,0.0000,0.97999400,186598,10,4,6
28,Wav2Vec2_GaussianAndBandPass,20,0.8800,0.5356,0.5763,0.0000,0.9966,0.2723,0.5309,0.3698,0.5542,0.5478,0.6442,0.5754,0.00183351,186598,10,4,6
29,Wav2Vec2_AllAugments,20,0.8802,0.5360,0.5757,0.0000,0.9969,0.8831,0.5388,0.9334,0.7184,0.7132,0.5964,0.9999,0.00103385,186598,10,4,6
30,Wav2Vec2_BandPassSurefire,20,0.8802,0.5359,0.5764,0.0000,0.9968,0.4065,0.6545,0.5170,0.5876,0.5900,0.7385,0.5296,0.00160137,186598,10,4,6
31,Wav2Vec2_Clipped,10,0.8802,0.5340,0.5718,0.0000,0.9971,0.1169,0.4615,0.0000,0.0000,0.0000,0.0000,0.0000,0.97999400,186598,10,4,6
