Model,Epoch,Dataset,Is_Single_Class,Calibrated_Threshold,Optimized_Threshold,Threshold_Diff,Calibrated_F1,Optimized_F1,F1_Improvement,Calibrated_Brier,Optimized_Brier,Brier_Improvement
CNN_LSTM,100,CalibrationDataset,No,0.83049900,0.83296728,+0.00246828,0.8669001751313484,0.8669001751313484,0.0,0.12418212587255428,0.12418212587255428,0.0
CNN_LSTM,100,DronePrint,Yes,0.83049900,0.03089099,-0.79960801,,,,0.848459060585239,0.848459060585239,0.0
CNN_LSTM,100,Emo,Yes,0.83049900,0.49799390,-0.33250510,,,,0.03142470150436977,0.03142470150436977,0.0
CNN_LSTM,100,ESC-50,Yes,0.83049900,0.92440401,+0.09390501,,,,0.19666795917620924,0.19666795917620924,0.0
CNN_LSTM,100,Fusion,No,0.83049900,0.60688376,-0.22361524,0.9663568889166094,0.9696662044374009,0.0033093155207915004,0.046004697982537514,0.046004697982537514,0.0
CNN_LSTM,100,H-2,Yes,0.83049900,0.02343412,-0.80706488,,,,0.8343322283529253,0.8343322283529253,0.0
CNN_LSTM,100,S&E,No,0.83049900,0.18579493,-0.64470407,0.0,0.0,0.0,0.2913181467970829,0.2913181467970829,0.0
CNN_LSTM,100,Authors,No,0.83049900,0.03566165,-0.79483735,0.0,0.7000000000000001,0.7000000000000001,0.759440447502385,0.759440447502385,0.0
CNN_LSTM,100,UrbanSound,Yes,0.83049900,0.97869676,+0.14819776,,,,0.10615748574956473,0.10615748574956473,0.0
CNN_LSTM,100,Wonjun_Yi,Yes,0.83049900,0.02196058,-0.80853842,,,,0.0054400518424309015,0.0054400518424309015,0.0
CNN_LSTM,10,Fusion,No,0.27700000,0.03586410,-0.24113590,0.9604915400765716,0.9788207671482306,0.01832922707165907,0.14469989998122565,0.14469989998122565,0.0
CNN_LSTM,10,CalibrationDataset,No,0.27700000,0.27700000,+0.00000000,0.7946074544012688,0.7946074544012688,0.0,0.15340278622636208,0.15340278622636208,0.0
CNN_LSTM,10,DronePrint,Yes,0.27700000,0.02708960,-0.24991040,,,,0.855264899824622,0.855264899824622,0.0
CNN_LSTM,10,Emo,Yes,0.27700000,0.43763218,+0.16063218,,,,0.025954208656809415,0.025954208656809415,0.0
CNN_LSTM,10,ESC-50,Yes,0.27700000,0.97764758,+0.70064758,,,,0.1639457571647526,0.1639457571647526,0.0
CNN_LSTM,10,H-2,Yes,0.27700000,0.02065089,-0.25634911,,,,0.8473447198947661,0.8473447198947661,0.0
CNN_LSTM,10,S&E,No,0.27700000,0.15727291,-0.11972709,0.0,0.0,0.0,0.2935285820280186,0.2935285820280186,0.0
CNN_LSTM,10,Authors,No,0.27700000,0.03016597,-0.24683403,0.07999999999999999,0.7000000000000001,0.6200000000000001,0.7782989197256135,0.7782989197256135,0.0
CNN_LSTM,10,UrbanSound,Yes,0.27700000,0.97964466,+0.70264466,,,,0.09784342034434935,0.09784342034434935,0.0
CNN_LSTM,10,Wonjun_Yi,Yes,0.27700000,0.18937542,-0.08762458,,,,0.12212040404475907,0.12212040404475907,0.0
CNN_LSTM,1,Fusion,No,0.98599900,0.97973377,-0.00626523,0.9777799790739284,0.9771629037946331,-0.0006170752792953316,0.04173715774480336,0.04173715774480336,0.0
CNN_LSTM,1,CalibrationDataset,No,0.98599900,0.94776827,-0.03823073,0.8857395925597874,0.8764241893076249,-0.009315403252162513,0.12942111466465533,0.12942111466465533,0.0
CNN_LSTM,1,DronePrint,Yes,0.98599900,0.03463689,-0.95136211,,,,0.8394205877647916,0.8394205877647916,0.0
CNN_LSTM,1,Emo,Yes,0.98599900,0.48343601,-0.50256299,,,,0.04109273280687197,0.04109273280687197,0.0
CNN_LSTM,1,ESC-50,Yes,0.98599900,0.97780112,-0.00819788,,,,0.21752666432328271,0.21752666432328271,0.0
CNN_LSTM,1,H-2,Yes,0.98599900,0.02056553,-0.96543347,,,,0.8107652669349362,0.8107652669349362,0.0
CNN_LSTM,1,S&E,No,0.98599900,0.24251932,-0.74347968,0.0,0.0,0.0,0.27501374999266864,0.27501374999266864,0.0
CNN_LSTM,1,Authors,No,0.98599900,0.02428638,-0.96171262,0.0,0.9166666666666666,0.9166666666666666,0.7273617596633121,0.7273617596633121,0.0
CNN_LSTM,1,UrbanSound,Yes,0.98599900,0.97973377,-0.00626523,,,,0.11310266436383773,0.11310266436383773,0.0
CNN_LSTM,1,Wonjun_Yi,Yes,0.98599900,0.98599900,+0.00000000,,,,0.00015948797944739766,0.00015948797944739766,0.0
CNN_LSTM,20,Fusion,No,0.80349900,0.61335069,-0.19014831,0.9669826903777948,0.9729759772741308,0.0059932868963359365,0.04325882462726899,0.04325882462726899,0.0
CNN_LSTM,20,CalibrationDataset,No,0.80349900,0.80349900,+0.00000000,0.8673647469458988,0.8673647469458988,0.0,0.11282338693914418,0.11282338693914418,0.0
CNN_LSTM,20,DronePrint,Yes,0.80349900,0.03163332,-0.77186568,,,,0.8509132979079337,0.8509132979079337,0.0
CNN_LSTM,20,Emo,Yes,0.80349900,0.42660101,-0.37689799,,,,0.02669244754845075,0.02669244754845075,0.0
CNN_LSTM,20,ESC-50,Yes,0.80349900,0.97903219,+0.17553319,,,,0.17573410205554044,0.17573410205554044,0.0
CNN_LSTM,20,H-2,Yes,0.80349900,0.02008287,-0.78341613,,,,0.8423309822675987,0.8423309822675987,0.0
CNN_LSTM,20,S&E,No,0.80349900,0.15548032,-0.64801868,0.0,0.0,0.0,0.29164375107523466,0.29164375107523466,0.0
CNN_LSTM,20,Authors,No,0.80349900,0.03024443,-0.77325457,0.0,0.6666666666666667,0.6666666666666667,0.7753823504751878,0.7753823504751878,0.0
CNN_LSTM,20,UrbanSound,Yes,0.80349900,0.97958922,+0.17609022,,,,0.10036626835017744,0.10036626835017744,0.0
CNN_LSTM,20,Wonjun_Yi,Yes,0.80349900,0.36115417,-0.44234483,,,,0.002984212316392788,0.002984212316392788,0.0
CNN_LSTM,50,Fusion,No,0.80749900,0.02000024,-0.78749876,0.9075053760603703,0.977911200504338,0.0704058244439677,0.09479697098271264,0.09479697098271264,0.0
CNN_LSTM,50,CalibrationDataset,No,0.80749900,0.80749900,+0.00000000,0.8033550792171482,0.8033550792171482,0.0,0.12711407695329352,0.12711407695329352,0.0
CNN_LSTM,50,DronePrint,Yes,0.80749900,0.03235027,-0.77514873,,,,0.8466500477919584,0.8466500477919584,0.0
CNN_LSTM,50,Emo,Yes,0.80749900,0.28876451,-0.51873449,,,,0.025149357091978696,0.025149357091978696,0.0
