file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,1,0,0.07693237,mean_over_windows,0.830499,whole_file
1,1,0,0.07693479,mean_over_windows,0.830499,whole_file
2,1,0,0.07693175,mean_over_windows,0.830499,whole_file
3,1,0,0.07700883,mean_over_windows,0.830499,whole_file
4,1,0,0.07695381,mean_over_windows,0.830499,whole_file
5,1,0,0.07693585,mean_over_windows,0.830499,whole_file
6,1,0,0.06630088,mean_over_windows,0.830499,whole_file
7,1,0,0.06620064,mean_over_windows,0.830499,whole_file
8,1,0,0.06622580,mean_over_windows,0.830499,whole_file
9,1,0,0.13301989,mean_over_windows,0.830499,whole_file
10,1,0,0.06642813,mean_over_windows,0.830499,whole_file
11,1,0,0.06656866,mean_over_windows,0.830499,whole_file
12,1,0,0.11201174,mean_over_windows,0.830499,whole_file
13,1,0,0.12348065,mean_over_windows,0.830499,whole_file
14,1,0,0.13420161,mean_over_windows,0.830499,whole_file
15,1,0,0.10714571,mean_over_windows,0.830499,whole_file
16,1,0,0.08240157,mean_over_windows,0.830499,whole_file
17,1,0,0.10053808,mean_over_windows,0.830499,whole_file
18,1,0,0.06254037,mean_over_windows,0.830499,whole_file
19,1,0,0.06252516,mean_over_windows,0.830499,whole_file
20,1,0,0.06259809,mean_over_windows,0.830499,whole_file
21,1,0,0.06252186,mean_over_windows,0.830499,whole_file
22,1,0,0.06252297,mean_over_windows,0.830499,whole_file
23,1,0,0.06252427,mean_over_windows,0.830499,whole_file
24,1,0,0.00004070,mean_over_windows,0.830499,whole_file
25,1,0,0.00003676,mean_over_windows,0.830499,whole_file
26,1,0,0.00002814,mean_over_windows,0.830499,whole_file
27,1,0,0.09861127,mean_over_windows,0.830499,whole_file
28,1,0,0.00036298,mean_over_windows,0.830499,whole_file
29,1,0,0.00014103,mean_over_windows,0.830499,whole_file
30,1,0,0.08331193,mean_over_windows,0.830499,whole_file
31,1,0,0.08334156,mean_over_windows,0.830499,whole_file
32,1,0,0.08320326,mean_over_windows,0.830499,whole_file
33,1,0,0.10095178,mean_over_windows,0.830499,whole_file
34,1,0,0.08326302,mean_over_windows,0.830499,whole_file
35,1,0,0.08331332,mean_over_windows,0.830499,whole_file
36,1,0,0.21344795,mean_over_windows,0.830499,whole_file
37,1,0,0.19992858,mean_over_windows,0.830499,whole_file
38,1,0,0.20515565,mean_over_windows,0.830499,whole_file
39,1,0,0.19840315,mean_over_windows,0.830499,whole_file
40,1,0,0.19752873,mean_over_windows,0.830499,whole_file
41,1,0,0.20100246,mean_over_windows,0.830499,whole_file
42,1,0,0.14286186,mean_over_windows,0.830499,whole_file
43,1,0,0.10873275,mean_over_windows,0.830499,whole_file
44,1,0,0.07149505,mean_over_windows,0.830499,whole_file
45,1,0,0.07145433,mean_over_windows,0.830499,whole_file
46,1,0,0.07144869,mean_over_windows,0.830499,whole_file
