file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,0,0.09862162,mean_over_windows,0.985999,whole_file
1,0,0,0.09452033,mean_over_windows,0.985999,whole_file
2,0,0,0.18180256,mean_over_windows,0.985999,whole_file
3,0,0,0.10494408,mean_over_windows,0.985999,whole_file
4,0,0,0.10127553,mean_over_windows,0.985999,whole_file
5,0,0,0.59948178,mean_over_windows,0.985999,whole_file
6,0,0,0.10391211,mean_over_windows,0.985999,whole_file
7,0,0,0.12814029,mean_over_windows,0.985999,whole_file
8,0,0,0.22480587,mean_over_windows,0.985999,whole_file
9,0,0,0.10660818,mean_over_windows,0.985999,whole_file
10,0,0,0.18538616,mean_over_windows,0.985999,whole_file
11,0,0,0.31824809,mean_over_windows,0.985999,whole_file
12,0,0,0.10391211,mean_over_windows,0.985999,whole_file
13,0,0,0.10533022,mean_over_windows,0.985999,whole_file
14,0,0,0.13185041,mean_over_windows,0.985999,whole_file
15,0,0,0.11683633,mean_over_windows,0.985999,whole_file
16,0,0,0.10388957,mean_over_windows,0.985999,whole_file
17,0,0,0.10804959,mean_over_windows,0.985999,whole_file
18,0,0,0.10545839,mean_over_windows,0.985999,whole_file
19,0,0,0.10584785,mean_over_windows,0.985999,whole_file
20,0,0,0.20067263,mean_over_windows,0.985999,whole_file
21,0,0,0.24251932,mean_over_windows,0.985999,whole_file
22,0,0,0.10252265,mean_over_windows,0.985999,whole_file
23,0,0,0.12750938,mean_over_windows,0.985999,whole_file
24,0,0,0.11204089,mean_over_windows,0.985999,whole_file
25,0,0,0.10864706,mean_over_windows,0.985999,whole_file
26,0,0,0.12575166,mean_over_windows,0.985999,whole_file
27,0,0,0.10917028,mean_over_windows,0.985999,whole_file
28,0,0,0.11618931,mean_over_windows,0.985999,whole_file
29,0,0,0.10668584,mean_over_windows,0.985999,whole_file
30,0,0,0.09739544,mean_over_windows,0.985999,whole_file
31,0,0,0.09651123,mean_over_windows,0.985999,whole_file
32,0,0,0.13872638,mean_over_windows,0.985999,whole_file
33,0,0,0.13383836,mean_over_windows,0.985999,whole_file
34,0,0,0.12474796,mean_over_windows,0.985999,whole_file
35,0,0,0.14442838,mean_over_windows,0.985999,whole_file
36,0,0,0.18724384,mean_over_windows,0.985999,whole_file
37,1,0,0.15854501,mean_over_windows,0.985999,whole_file
38,1,0,0.15396026,mean_over_windows,0.985999,whole_file
39,1,0,0.13824506,mean_over_windows,0.985999,whole_file
40,1,0,0.09433795,mean_over_windows,0.985999,whole_file
41,1,0,0.15189934,mean_over_windows,0.985999,whole_file
42,1,0,0.13533449,mean_over_windows,0.985999,whole_file
43,1,0,0.12960723,mean_over_windows,0.985999,whole_file
44,1,0,0.22286582,mean_over_windows,0.985999,whole_file
45,1,0,0.10699984,mean_over_windows,0.985999,whole_file
46,1,0,0.15285894,mean_over_windows,0.985999,whole_file
47,1,0,0.12373353,mean_over_windows,0.985999,whole_file
48,1,0,0.09438172,mean_over_windows,0.985999,whole_file
49,1,0,0.09903005,mean_over_windows,0.985999,whole_file
50,1,0,0.15768049,mean_over_windows,0.985999,whole_file
51,1,0,0.14404246,mean_over_windows,0.985999,whole_file
52,1,0,0.09738456,mean_over_windows,0.985999,whole_file
53,1,0,0.13391715,mean_over_windows,0.985999,whole_file
54,1,0,0.10503101,mean_over_windows,0.985999,whole_file
55,1,0,0.11809588,mean_over_windows,0.985999,whole_file
