file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,0,0.27218893,mean_over_windows,0.803499,whole_file
1,0,0,0.09047573,mean_over_windows,0.803499,whole_file
2,0,0,0.52624606,mean_over_windows,0.803499,whole_file
3,0,0,0.18345617,mean_over_windows,0.803499,whole_file
4,0,0,0.09056454,mean_over_windows,0.803499,whole_file
5,0,0,0.22454842,mean_over_windows,0.803499,whole_file
6,0,0,0.09048114,mean_over_windows,0.803499,whole_file
7,0,0,0.14099400,mean_over_windows,0.803499,whole_file
8,0,0,0.37095417,mean_over_windows,0.803499,whole_file
9,0,0,0.17683138,mean_over_windows,0.803499,whole_file
10,0,0,0.09048126,mean_over_windows,0.803499,whole_file
11,0,0,0.09468153,mean_over_windows,0.803499,whole_file
12,0,0,0.09049419,mean_over_windows,0.803499,whole_file
13,0,0,0.09074813,mean_over_windows,0.803499,whole_file
14,0,0,0.09047447,mean_over_windows,0.803499,whole_file
15,0,0,0.09050310,mean_over_windows,0.803499,whole_file
16,0,0,0.09048582,mean_over_windows,0.803499,whole_file
17,0,0,0.09047883,mean_over_windows,0.803499,whole_file
18,0,0,0.09047790,mean_over_windows,0.803499,whole_file
19,0,0,0.09047715,mean_over_windows,0.803499,whole_file
20,0,0,0.09065643,mean_over_windows,0.803499,whole_file
21,0,0,0.14232310,mean_over_windows,0.803499,whole_file
22,0,0,0.09049001,mean_over_windows,0.803499,whole_file
23,0,1,0.98785504,mean_over_windows,0.803499,whole_file
24,0,0,0.00017509,mean_over_windows,0.803499,whole_file
25,0,0,0.00004408,mean_over_windows,0.803499,whole_file
26,0,0,0.00009703,mean_over_windows,0.803499,whole_file
27,0,0,0.00007998,mean_over_windows,0.803499,whole_file
28,0,0,0.00006596,mean_over_windows,0.803499,whole_file
29,0,0,0.74551260,mean_over_windows,0.803499,whole_file
30,0,0,0.19711200,mean_over_windows,0.803499,whole_file
31,0,0,0.22582996,mean_over_windows,0.803499,whole_file
32,0,1,0.99008316,mean_over_windows,0.803499,whole_file
33,0,1,0.98353188,mean_over_windows,0.803499,whole_file
34,0,0,0.01360825,mean_over_windows,0.803499,whole_file
35,0,0,0.19042242,mean_over_windows,0.803499,whole_file
36,0,0,0.00140449,mean_over_windows,0.803499,whole_file
37,0,1,0.98791860,mean_over_windows,0.803499,whole_file
38,0,0,0.00005149,mean_over_windows,0.803499,whole_file
39,0,0,0.00014243,mean_over_windows,0.803499,whole_file
40,0,0,0.01599196,mean_over_windows,0.803499,whole_file
41,0,0,0.10138237,mean_over_windows,0.803499,whole_file
42,0,0,0.09732250,mean_over_windows,0.803499,whole_file
43,0,0,0.02054147,mean_over_windows,0.803499,whole_file
44,0,0,0.72061620,mean_over_windows,0.803499,whole_file
45,0,0,0.00068027,mean_over_windows,0.803499,whole_file
46,0,0,0.00786183,mean_over_windows,0.803499,whole_file
47,0,0,0.00003469,mean_over_windows,0.803499,whole_file
48,0,0,0.00011892,mean_over_windows,0.803499,whole_file
49,0,0,0.49302162,mean_over_windows,0.803499,whole_file
50,0,0,0.10754665,mean_over_windows,0.803499,whole_file
51,0,0,0.00006741,mean_over_windows,0.803499,whole_file
52,0,0,0.19282256,mean_over_windows,0.803499,whole_file
53,0,0,0.54661915,mean_over_windows,0.803499,whole_file
54,0,0,0.38787453,mean_over_windows,0.803499,whole_file
55,0,0,0.20343490,mean_over_windows,0.803499,whole_file
56,0,0,0.00064853,mean_over_windows,0.803499,whole_file
57,0,0,0.00014112,mean_over_windows,0.803499,whole_file
58,0,0,0.00054136,mean_over_windows,0.803499,whole_file
59,0,0,0.79135153,mean_over_windows,0.803499,whole_file
60,0,0,0.00004341,mean_over_windows,0.803499,whole_file
61,0,0,0.19500390,mean_over_windows,0.803499,whole_file
62,0,0,0.02766384,mean_over_windows,0.803499,whole_file
63,0,0,0.37810282,mean_over_windows,0.803499,whole_file
64,0,0,0.54650534,mean_over_windows,0.803499,whole_file
65,0,0,0.35929420,mean_over_windows,0.803499,whole_file
66,0,0,0.49177982,mean_over_windows,0.803499,whole_file
67,0,0,0.42546134,mean_over_windows,0.803499,whole_file
68,0,0,0.43214163,mean_over_windows,0.803499,whole_file
69,0,0,0.31686252,mean_over_windows,0.803499,whole_file
70,0,0,0.32582561,mean_over_windows,0.803499,whole_file
71,0,1,0.90187792,mean_over_windows,0.803499,whole_file
72,0,0,0.19909380,mean_over_windows,0.803499,whole_file
73,0,1,0.98972843,mean_over_windows,0.803499,whole_file
74,0,0,0.00049881,mean_over_windows,0.803499,whole_file
75,0,0,0.39770063,mean_over_windows,0.803499,whole_file
76,0,1,0.96957701,mean_over_windows,0.803499,whole_file
77,0,0,0.44508496,mean_over_windows,0.803499,whole_file
78,0,0,0.00004326,mean_over_windows,0.803499,whole_file
79,0,0,0.00005983,mean_over_windows,0.803499,whole_file
80,0,0,0.00003536,mean_over_windows,0.803499,whole_file
81,0,0,0.00020532,mean_over_windows,0.803499,whole_file
82,0,0,0.00003593,mean_over_windows,0.803499,whole_file
83,0,0,0.00005981,mean_over_windows,0.803499,whole_file
84,0,0,0.39843892,mean_over_windows,0.803499,whole_file
85,0,0,0.00004625,mean_over_windows,0.803499,whole_file
86,0,0,0.62244973,mean_over_windows,0.803499,whole_file
87,0,0,0.00359506,mean_over_windows,0.803499,whole_file
88,0,0,0.00974790,mean_over_windows,0.803499,whole_file
89,0,0,0.00042935,mean_over_windows,0.803499,whole_file
90,0,0,0.00035189,mean_over_windows,0.803499,whole_file
91,0,0,0.78301538,mean_over_windows,0.803499,whole_file
92,0,0,0.00143983,mean_over_windows,0.803499,whole_file
93,0,0,0.38913085,mean_over_windows,0.803499,whole_file
94,0,0,0.46704199,mean_over_windows,0.803499,whole_file
95,0,0,0.00027585,mean_over_windows,0.803499,whole_file
96,0,0,0.00006977,mean_over_windows,0.803499,whole_file
97,0,0,0.00004502,mean_over_windows,0.803499,whole_file
98,0,0,0.00004467,mean_over_windows,0.803499,whole_file
99,0,0,0.14003269,mean_over_windows,0.803499,whole_file
100,0,1,0.97741814,mean_over_windows,0.803499,whole_file
101,0,0,0.58356327,mean_over_windows,0.803499,whole_file
102,0,0,0.03010482,mean_over_windows,0.803499,whole_file
103,0,0,0.14695402,mean_over_windows,0.803499,whole_file
104,0,0,0.17773527,mean_over_windows,0.803499,whole_file
105,0,0,0.50304142,mean_over_windows,0.803499,whole_file
106,0,1,0.91234913,mean_over_windows,0.803499,whole_file
107,0,1,0.98482088,mean_over_windows,0.803499,whole_file
108,0,1,0.98782039,mean_over_windows,0.803499,whole_file
109,0,1,0.95140810,mean_over_windows,0.803499,whole_file
110,0,0,0.00015731,mean_over_windows,0.803499,whole_file
111,0,0,0.00016611,mean_over_windows,0.803499,whole_file
112,0,0,0.00003721,mean_over_windows,0.803499,whole_file
113,0,0,0.00003843,mean_over_windows,0.803499,whole_file
114,0,0,0.00003861,mean_over_windows,0.803499,whole_file
115,0,0,0.00007986,mean_over_windows,0.803499,whole_file
116,0,0,0.04013391,mean_over_windows,0.803499,whole_file
117,0,0,0.04668509,mean_over_windows,0.803499,whole_file
118,0,1,0.81155550,mean_over_windows,0.803499,whole_file
119,0,0,0.00381330,mean_over_windows,0.803499,whole_file
120,0,0,0.19389695,mean_over_windows,0.803499,whole_file
121,0,0,0.00009663,mean_over_windows,0.803499,whole_file
122,0,0,0.00123128,mean_over_windows,0.803499,whole_file
123,0,0,0.00018097,mean_over_windows,0.803499,whole_file
