file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,1,0,0.09061837,mean_over_windows,0.803499,whole_file
1,1,0,0.09057643,mean_over_windows,0.803499,whole_file
2,1,0,0.08829579,mean_over_windows,0.803499,whole_file
3,1,0,0.03163332,mean_over_windows,0.803499,whole_file
4,1,0,0.09068634,mean_over_windows,0.803499,whole_file
5,1,0,0.09071575,mean_over_windows,0.803499,whole_file
6,1,0,0.09047650,mean_over_windows,0.803499,whole_file
7,1,0,0.09071013,mean_over_windows,0.803499,whole_file
8,1,0,0.09067064,mean_over_windows,0.803499,whole_file
9,1,0,0.09060558,mean_over_windows,0.803499,whole_file
10,1,0,0.00025688,mean_over_windows,0.803499,whole_file
11,1,0,0.09063750,mean_over_windows,0.803499,whole_file
