file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,1,0.99976748,mean_over_windows,0.807499,whole_file
1,0,1,0.99955183,mean_over_windows,0.807499,whole_file
2,0,0,0.49987258,mean_over_windows,0.807499,whole_file
3,0,1,0.99972218,mean_over_windows,0.807499,whole_file
4,0,0,0.49975705,mean_over_windows,0.807499,whole_file
5,0,0,0.32085137,mean_over_windows,0.807499,whole_file
6,0,0,0.24998832,mean_over_windows,0.807499,whole_file
7,0,1,0.99977976,mean_over_windows,0.807499,whole_file
8,0,1,0.99976999,mean_over_windows,0.807499,whole_file
9,0,1,0.99964714,mean_over_windows,0.807499,whole_file
10,0,1,0.86245739,mean_over_windows,0.807499,whole_file
11,0,0,0.61127644,mean_over_windows,0.807499,whole_file
12,0,0,0.49992504,mean_over_windows,0.807499,whole_file
13,0,1,0.98201098,mean_over_windows,0.807499,whole_file
14,0,1,0.99998987,mean_over_windows,0.807499,whole_file
15,0,1,0.99978226,mean_over_windows,0.807499,whole_file
16,0,0,0.49987595,mean_over_windows,0.807499,whole_file
17,0,0,0.33328553,mean_over_windows,0.807499,whole_file
18,0,0,0.49992422,mean_over_windows,0.807499,whole_file
19,0,0,0.00001173,mean_over_windows,0.807499,whole_file
20,0,0,0.00001240,mean_over_windows,0.807499,whole_file
21,0,0,0.00004181,mean_over_windows,0.807499,whole_file
22,0,0,0.00003889,mean_over_windows,0.807499,whole_file
23,0,0,0.00002891,mean_over_windows,0.807499,whole_file
24,0,0,0.00010965,mean_over_windows,0.807499,whole_file
25,0,0,0.00012816,mean_over_windows,0.807499,whole_file
26,0,0,0.00010188,mean_over_windows,0.807499,whole_file
27,0,0,0.00016342,mean_over_windows,0.807499,whole_file
28,0,0,0.00017122,mean_over_windows,0.807499,whole_file
29,0,0,0.00007885,mean_over_windows,0.807499,whole_file
30,0,0,0.00006244,mean_over_windows,0.807499,whole_file
31,0,0,0.00007836,mean_over_windows,0.807499,whole_file
32,0,0,0.00015979,mean_over_windows,0.807499,whole_file
33,0,0,0.00010565,mean_over_windows,0.807499,whole_file
34,0,0,0.00008971,mean_over_windows,0.807499,whole_file
35,0,0,0.00003156,mean_over_windows,0.807499,whole_file
36,0,0,0.00037373,mean_over_windows,0.807499,whole_file
37,0,0,0.00006547,mean_over_windows,0.807499,whole_file
38,0,0,0.00005072,mean_over_windows,0.807499,whole_file
39,0,0,0.00004478,mean_over_windows,0.807499,whole_file
40,0,0,0.00001614,mean_over_windows,0.807499,whole_file
41,0,0,0.00012044,mean_over_windows,0.807499,whole_file
42,0,0,0.00001709,mean_over_windows,0.807499,whole_file
43,0,0,0.00007284,mean_over_windows,0.807499,whole_file
44,0,0,0.00009171,mean_over_windows,0.807499,whole_file
