file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,0,0.21440040,mean_over_windows,0.232001,whole_file
1,0,1,0.38138921,mean_over_windows,0.232001,whole_file
2,0,0,0.00006011,mean_over_windows,0.232001,whole_file
3,0,0,0.00013134,mean_over_windows,0.232001,whole_file
4,0,1,0.40740314,mean_over_windows,0.232001,whole_file
5,0,0,0.00163771,mean_over_windows,0.232001,whole_file
6,0,1,0.39373718,mean_over_windows,0.232001,whole_file
7,0,1,0.98959252,mean_over_windows,0.232001,whole_file
8,0,0,0.02253742,mean_over_windows,0.232001,whole_file
9,0,0,0.00312668,mean_over_windows,0.232001,whole_file
10,0,1,0.23662631,mean_over_windows,0.232001,whole_file
11,0,1,0.46232839,mean_over_windows,0.232001,whole_file
12,0,0,0.00007554,mean_over_windows,0.232001,whole_file
13,0,0,0.00021283,mean_over_windows,0.232001,whole_file
14,0,0,0.00007505,mean_over_windows,0.232001,whole_file
15,0,1,0.44547265,mean_over_windows,0.232001,whole_file
16,0,0,0.00092857,mean_over_windows,0.232001,whole_file
17,0,0,0.00083336,mean_over_windows,0.232001,whole_file
18,0,0,0.00817022,mean_over_windows,0.232001,whole_file
19,0,0,0.00426485,mean_over_windows,0.232001,whole_file
20,0,0,0.00114081,mean_over_windows,0.232001,whole_file
21,0,0,0.00446362,mean_over_windows,0.232001,whole_file
22,0,0,0.00604631,mean_over_windows,0.232001,whole_file
23,0,0,0.00026618,mean_over_windows,0.232001,whole_file
24,0,1,0.34174509,mean_over_windows,0.232001,whole_file
25,0,0,0.19833353,mean_over_windows,0.232001,whole_file
26,0,1,0.78904891,mean_over_windows,0.232001,whole_file
27,0,1,0.40302765,mean_over_windows,0.232001,whole_file
28,0,0,0.00006124,mean_over_windows,0.232001,whole_file
29,0,1,0.39962061,mean_over_windows,0.232001,whole_file
30,0,0,0.08536210,mean_over_windows,0.232001,whole_file
31,0,1,0.27157544,mean_over_windows,0.232001,whole_file
32,0,1,0.77169747,mean_over_windows,0.232001,whole_file
33,0,0,0.00007506,mean_over_windows,0.232001,whole_file
34,0,0,0.00005795,mean_over_windows,0.232001,whole_file
35,0,0,0.00005458,mean_over_windows,0.232001,whole_file
