file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,1,0.26240536,mean_over_windows,0.232001,whole_file
1,0,1,0.25014018,mean_over_windows,0.232001,whole_file
2,0,1,0.24216320,mean_over_windows,0.232001,whole_file
3,0,0,0.17744006,mean_over_windows,0.232001,whole_file
4,0,1,0.26502095,mean_over_windows,0.232001,whole_file
5,0,1,0.27767519,mean_over_windows,0.232001,whole_file
6,0,1,0.27512768,mean_over_windows,0.232001,whole_file
7,0,1,0.27692048,mean_over_windows,0.232001,whole_file
8,0,1,0.27955646,mean_over_windows,0.232001,whole_file
9,0,1,0.28018493,mean_over_windows,0.232001,whole_file
10,0,1,0.27723034,mean_over_windows,0.232001,whole_file
11,0,1,0.27802822,mean_over_windows,0.232001,whole_file
12,0,0,0.14124957,mean_over_windows,0.232001,whole_file
13,0,0,0.14113488,mean_over_windows,0.232001,whole_file
14,0,0,0.14133592,mean_over_windows,0.232001,whole_file
15,0,0,0.14042645,mean_over_windows,0.232001,whole_file
16,0,0,0.14092857,mean_over_windows,0.232001,whole_file
17,0,0,0.14074566,mean_over_windows,0.232001,whole_file
18,0,0,0.14185794,mean_over_windows,0.232001,whole_file
19,0,0,0.14170867,mean_over_windows,0.232001,whole_file
20,0,0,0.14176243,mean_over_windows,0.232001,whole_file
21,0,0,0.14103833,mean_over_windows,0.232001,whole_file
22,0,0,0.14069665,mean_over_windows,0.232001,whole_file
23,0,0,0.14093969,mean_over_windows,0.232001,whole_file
24,0,0,0.14162286,mean_over_windows,0.232001,whole_file
25,0,0,0.14165055,mean_over_windows,0.232001,whole_file
26,0,0,0.14163558,mean_over_windows,0.232001,whole_file
27,0,0,0.14330175,mean_over_windows,0.232001,whole_file
28,0,0,0.14417590,mean_over_windows,0.232001,whole_file
29,0,0,0.14423173,mean_over_windows,0.232001,whole_file
30,0,0,0.14239076,mean_over_windows,0.232001,whole_file
31,0,0,0.14529564,mean_over_windows,0.232001,whole_file
32,0,0,0.14360402,mean_over_windows,0.232001,whole_file
33,0,0,0.21785125,mean_over_windows,0.232001,whole_file
34,0,0,0.18153899,mean_over_windows,0.232001,whole_file
35,0,0,0.21234942,mean_over_windows,0.232001,whole_file
36,0,0,0.14291633,mean_over_windows,0.232001,whole_file
37,0,0,0.14379450,mean_over_windows,0.232001,whole_file
38,0,0,0.14356457,mean_over_windows,0.232001,whole_file
39,0,0,0.14126970,mean_over_windows,0.232001,whole_file
40,0,0,0.14157898,mean_over_windows,0.232001,whole_file
41,0,0,0.14148478,mean_over_windows,0.232001,whole_file
42,0,0,0.22855569,mean_over_windows,0.232001,whole_file
43,0,1,0.26067407,mean_over_windows,0.232001,whole_file
