file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,0,0.19832103,mean_over_windows,0.232001,whole_file
1,0,0,0.00825474,mean_over_windows,0.232001,whole_file
2,0,0,0.03957923,mean_over_windows,0.232001,whole_file
3,1,0,0.02613074,mean_over_windows,0.232001,whole_file
4,1,0,0.02980388,mean_over_windows,0.232001,whole_file
5,1,1,0.26452006,mean_over_windows,0.232001,whole_file
6,1,0,0.01165176,mean_over_windows,0.232001,whole_file
7,1,0,0.06310684,mean_over_windows,0.232001,whole_file
8,1,0,0.00031123,mean_over_windows,0.232001,whole_file
9,1,0,0.01976612,mean_over_windows,0.232001,whole_file
10,1,0,0.06490140,mean_over_windows,0.232001,whole_file
11,1,0,0.02022654,mean_over_windows,0.232001,whole_file
12,1,0,0.01702430,mean_over_windows,0.232001,whole_file
13,1,0,0.00070404,mean_over_windows,0.232001,whole_file
14,1,0,0.00058649,mean_over_windows,0.232001,whole_file
15,1,0,0.01819161,mean_over_windows,0.232001,whole_file
16,1,0,0.10692435,mean_over_windows,0.232001,2_chunks
17,1,0,0.14233238,mean_over_windows,0.232001,whole_file
18,1,0,0.02819868,mean_over_windows,0.232001,whole_file
19,1,0,0.14281826,mean_over_windows,0.232001,whole_file
20,1,0,0.04957012,mean_over_windows,0.232001,whole_file
21,1,0,0.17707181,mean_over_windows,0.232001,6_chunks
22,1,0,0.08471988,mean_over_windows,0.232001,6_chunks
23,1,0,0.08221359,mean_over_windows,0.232001,whole_file
24,1,0,0.04993037,mean_over_windows,0.232001,whole_file
25,1,0,0.03996135,mean_over_windows,0.232001,whole_file
26,1,0,0.10719927,mean_over_windows,0.232001,whole_file
