file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,1,0.00017231,noisy_or,0.000046,12_windows
1,0,1,0.00007576,noisy_or,0.000046,12_windows
2,0,1,0.00014704,noisy_or,0.000046,12_windows
3,0,1,0.00008655,noisy_or,0.000046,12_windows
4,0,1,0.00014255,noisy_or,0.000046,12_windows
5,0,1,0.00008110,noisy_or,0.000046,12_windows
6,0,1,0.00006796,noisy_or,0.000046,12_windows
7,0,1,0.00009742,noisy_or,0.000046,12_windows
8,0,1,0.00011066,noisy_or,0.000046,12_windows
9,0,1,0.00007863,noisy_or,0.000046,12_windows
10,0,0,0.00004402,noisy_or,0.000046,12_windows
11,0,1,0.00005946,noisy_or,0.000046,12_windows
12,0,0,0.00001740,noisy_or,0.000046,12_windows
13,0,1,0.00007244,noisy_or,0.000046,12_windows
14,0,0,0.00001795,noisy_or,0.000046,12_windows
15,0,0,0.00001336,noisy_or,0.000046,12_windows
16,0,0,0.00001200,noisy_or,0.000046,12_windows
17,0,0,0.00001200,noisy_or,0.000046,12_windows
18,0,0,0.00001200,noisy_or,0.000046,12_windows
19,0,0,0.00002407,noisy_or,0.000046,12_windows
20,0,0,0.00001736,noisy_or,0.000046,12_windows
21,0,0,0.00001200,noisy_or,0.000046,12_windows
22,0,0,0.00001200,noisy_or,0.000046,12_windows
23,0,0,0.00001309,noisy_or,0.000046,12_windows
24,0,0,0.00001200,noisy_or,0.000046,12_windows
25,0,0,0.00002955,noisy_or,0.000046,12_windows
26,0,0,0.00003713,noisy_or,0.000046,12_windows
27,0,0,0.00001200,noisy_or,0.000046,12_windows
28,0,0,0.00001200,noisy_or,0.000046,12_windows
29,0,0,0.00001200,noisy_or,0.000046,12_windows
30,0,0,0.00001200,noisy_or,0.000046,12_windows
31,0,0,0.00001200,noisy_or,0.000046,12_windows
32,0,0,0.00001200,noisy_or,0.000046,12_windows
33,0,0,0.00001200,noisy_or,0.000046,12_windows
34,0,0,0.00001200,noisy_or,0.000046,12_windows
35,0,0,0.00001200,noisy_or,0.000046,12_windows
36,0,0,0.00001200,noisy_or,0.000046,12_windows
37,0,0,0.00001299,noisy_or,0.000046,12_windows
38,0,0,0.00001262,noisy_or,0.000046,12_windows
39,0,0,0.00001802,noisy_or,0.000046,12_windows
40,0,0,0.00001208,noisy_or,0.000046,12_windows
41,0,0,0.00001238,noisy_or,0.000046,12_windows
42,0,0,0.00001200,noisy_or,0.000046,12_windows
43,0,0,0.00001200,noisy_or,0.000046,12_windows
44,0,0,0.00001200,noisy_or,0.000046,12_windows
45,0,0,0.00002074,noisy_or,0.000046,12_windows
46,0,1,0.00448348,noisy_or,0.000046,12_windows
47,0,1,0.00420320,noisy_or,0.000046,12_windows
48,0,0,0.00001211,noisy_or,0.000046,12_windows
49,0,0,0.00001234,noisy_or,0.000046,12_windows
50,0,0,0.00001200,noisy_or,0.000046,12_windows
51,0,0,0.00002760,noisy_or,0.000046,12_windows
52,0,0,0.00001200,noisy_or,0.000046,12_windows
53,0,0,0.00001200,noisy_or,0.000046,12_windows
54,0,0,0.00002707,noisy_or,0.000046,12_windows
55,0,0,0.00001200,noisy_or,0.000046,12_windows
56,0,0,0.00002602,noisy_or,0.000046,12_windows
57,0,1,0.00022022,noisy_or,0.000046,12_windows
58,0,1,0.00104716,noisy_or,0.000046,12_windows
59,0,1,0.00498555,noisy_or,0.000046,12_windows
60,0,0,0.00001200,noisy_or,0.000046,12_windows
61,0,0,0.00001318,noisy_or,0.000046,12_windows
62,0,0,0.00001325,noisy_or,0.000046,12_windows
63,0,0,0.00002723,noisy_or,0.000046,12_windows
64,0,0,0.00001340,noisy_or,0.000046,12_windows
65,0,0,0.00003305,noisy_or,0.000046,12_windows
66,0,0,0.00001200,noisy_or,0.000046,12_windows
67,0,0,0.00001200,noisy_or,0.000046,12_windows
68,0,0,0.00001200,noisy_or,0.000046,12_windows
69,0,0,0.00001200,noisy_or,0.000046,12_windows
70,0,0,0.00001200,noisy_or,0.000046,12_windows
71,0,0,0.00001200,noisy_or,0.000046,12_windows
72,0,0,0.00001200,noisy_or,0.000046,12_windows
73,0,0,0.00001346,noisy_or,0.000046,12_windows
74,0,0,0.00001360,noisy_or,0.000046,12_windows
75,0,0,0.00001459,noisy_or,0.000046,12_windows
76,0,0,0.00001200,noisy_or,0.000046,12_windows
77,0,0,0.00001278,noisy_or,0.000046,12_windows
78,0,0,0.00001200,noisy_or,0.000046,12_windows
79,0,0,0.00001200,noisy_or,0.000046,12_windows
80,0,0,0.00001200,noisy_or,0.000046,12_windows
81,0,0,0.00001200,noisy_or,0.000046,12_windows
82,0,0,0.00001200,noisy_or,0.000046,12_windows
83,0,0,0.00001200,noisy_or,0.000046,12_windows
84,0,0,0.00001200,noisy_or,0.000046,12_windows
85,0,0,0.00001200,noisy_or,0.000046,12_windows
86,0,0,0.00001200,noisy_or,0.000046,12_windows
87,0,0,0.00001200,noisy_or,0.000046,12_windows
88,0,0,0.00001200,noisy_or,0.000046,12_windows
89,0,0,0.00001230,noisy_or,0.000046,12_windows
90,0,1,0.00006565,noisy_or,0.000046,12_windows
