file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,0,0.00000000,noisy_or,0.000046,0_windows
1,0,0,0.00000100,noisy_or,0.000046,whole_file
2,0,0,0.00000200,noisy_or,0.000046,2_windows
3,0,0,0.00000000,noisy_or,0.000046,0_windows
4,0,0,0.00000300,noisy_or,0.000046,3_windows
5,0,1,0.00006495,noisy_or,0.000046,3_windows
6,0,0,0.00000600,noisy_or,0.000046,6_windows
7,0,0,0.00000100,noisy_or,0.000046,whole_file
8,0,0,0.00000000,noisy_or,0.000046,0_windows
9,0,0,0.00000100,noisy_or,0.000046,whole_file
10,0,0,0.00000300,noisy_or,0.000046,3_windows
11,0,1,0.00484995,noisy_or,0.000046,5_windows
12,0,1,0.00007488,noisy_or,0.000046,2_windows
13,0,0,0.00000500,noisy_or,0.000046,5_windows
14,0,0,0.00000100,noisy_or,0.000046,whole_file
15,0,0,0.00000000,noisy_or,0.000046,0_windows
16,0,0,0.00000300,noisy_or,0.000046,3_windows
17,0,0,0.00000500,noisy_or,0.000046,5_windows
18,0,0,0.00000200,noisy_or,0.000046,2_windows
19,0,0,0.00000700,noisy_or,0.000046,7_windows
20,0,0,0.00001281,noisy_or,0.000046,7_windows
21,0,0,0.00000831,noisy_or,0.000046,7_windows
22,0,0,0.00000700,noisy_or,0.000046,7_windows
23,0,0,0.00003988,noisy_or,0.000046,7_windows
24,0,0,0.00000700,noisy_or,0.000046,7_windows
25,0,0,0.00000700,noisy_or,0.000046,7_windows
26,0,0,0.00000700,noisy_or,0.000046,7_windows
27,0,0,0.00000700,noisy_or,0.000046,7_windows
28,0,0,0.00000700,noisy_or,0.000046,7_windows
29,0,0,0.00000972,noisy_or,0.000046,7_windows
30,0,0,0.00000700,noisy_or,0.000046,7_windows
31,0,0,0.00000700,noisy_or,0.000046,7_windows
32,0,0,0.00000700,noisy_or,0.000046,7_windows
33,0,0,0.00000700,noisy_or,0.000046,7_windows
34,0,0,0.00000700,noisy_or,0.000046,7_windows
35,0,0,0.00000700,noisy_or,0.000046,7_windows
36,0,0,0.00000700,noisy_or,0.000046,7_windows
37,0,0,0.00000700,noisy_or,0.000046,7_windows
38,0,0,0.00000700,noisy_or,0.000046,7_windows
39,0,0,0.00000700,noisy_or,0.000046,7_windows
40,0,0,0.00000700,noisy_or,0.000046,7_windows
41,0,0,0.00000700,noisy_or,0.000046,7_windows
42,0,0,0.00000700,noisy_or,0.000046,7_windows
43,0,1,0.00051480,noisy_or,0.000046,7_windows
44,0,0,0.00000700,noisy_or,0.000046,7_windows
45,0,0,0.00000700,noisy_or,0.000046,7_windows
46,0,0,0.00000700,noisy_or,0.000046,7_windows
47,0,0,0.00000700,noisy_or,0.000046,7_windows
48,0,0,0.00000700,noisy_or,0.000046,7_windows
49,0,1,0.00042785,noisy_or,0.000046,7_windows
50,0,1,0.00027812,noisy_or,0.000046,7_windows
51,0,1,0.00009465,noisy_or,0.000046,7_windows
52,0,1,0.00031788,noisy_or,0.000046,7_windows
53,0,1,0.00918515,noisy_or,0.000046,7_windows
54,0,1,0.00005268,noisy_or,0.000046,7_windows
55,0,1,0.00006027,noisy_or,0.000046,7_windows
56,0,1,0.00014823,noisy_or,0.000046,7_windows
57,0,1,0.00007058,noisy_or,0.000046,7_windows
58,0,1,0.00006735,noisy_or,0.000046,7_windows
59,0,1,0.00004843,noisy_or,0.000046,7_windows
60,0,0,0.00003060,noisy_or,0.000046,7_windows
61,0,1,0.00015378,noisy_or,0.000046,7_windows
62,0,1,0.00013045,noisy_or,0.000046,7_windows
63,0,0,0.00002084,noisy_or,0.000046,7_windows
64,0,1,0.00006763,noisy_or,0.000046,7_windows
65,0,0,0.00003223,noisy_or,0.000046,7_windows
66,0,1,0.00006896,noisy_or,0.000046,7_windows
67,0,1,0.00004647,noisy_or,0.000046,7_windows
68,0,1,0.00017589,noisy_or,0.000046,7_windows
69,0,1,0.00020827,noisy_or,0.000046,7_windows
70,0,1,0.00007599,noisy_or,0.000046,7_windows
71,0,1,0.00005002,noisy_or,0.000046,7_windows
72,0,1,0.00006759,noisy_or,0.000046,7_windows
73,0,1,0.00009142,noisy_or,0.000046,7_windows
74,0,1,0.00013651,noisy_or,0.000046,7_windows
75,0,0,0.00000700,noisy_or,0.000046,7_windows
76,0,0,0.00000700,noisy_or,0.000046,7_windows
77,0,0,0.00000700,noisy_or,0.000046,7_windows
78,0,0,0.00000700,noisy_or,0.000046,7_windows
