Rank,Model,Epoch,Dataset,Excluded_From_Ranking,Is_Single_Class,Brier_Score,F1,Accuracy,Precision,Recall,Threshold,TP,TN,FP,FN,Total_Samples
1,Resnet_34,1,CalibrationDataset,Yes,No,0.9253,0.1372,0.0828,0.1071,0.1909,0.96616160,118,16,984,500,1618
1,Resnet_34,1,DronePrint,No,Yes,0.0000,N/A,1.0000,N/A,N/A,0.99720400,12,0,0,0,12
1,Resnet_34,1,Emo,No,Yes,1.0000,N/A,0.0000,N/A,N/A,0.99720400,0,0,370,0,370
1,Resnet_34,1,ESC-50,No,Yes,0.9993,N/A,0.0018,N/A,N/A,0.96172004,0,3,1671,0,1674
1,Resnet_34,1,Fusion,Yes,No,0.9639,0.0654,0.0373,0.2362,0.0380,0.97618055,3116,334,10074,78966,92490
1,Resnet_34,1,H-2,No,Yes,0.0000,N/A,1.0000,N/A,N/A,0.99720400,3061,0,0,0,3061
1,Resnet_34,1,S&E,No,No,0.6607,0.5067,0.3393,0.3393,1.0000,0.97618055,19,0,37,0,56
1,Resnet_34,1,Authors,No,No,0.1111,0.9412,0.8889,0.8889,1.0000,0.99720400,24,0,3,0,27
1,Resnet_34,1,UrbanSound,No,Yes,0.9729,N/A,0.0401,N/A,N/A,0.97930469,0,334,7990,0,8324
1,Resnet_34,1,Wonjun_Yi,No,Yes,1.0000,N/A,0.0000,N/A,N/A,0.99720400,0,0,0,78966,78966
