file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,1,1,0.0029705323,whole_file,0.0010338490828871727,whole_file
1,1,1,0.0026208314,whole_file,0.0010338490828871727,whole_file
2,1,1,0.0025933217,whole_file,0.0010338490828871727,whole_file
3,1,1,0.0017544173,whole_file,0.0010338490828871727,whole_file
4,1,1,0.0018914669,whole_file,0.0010338490828871727,whole_file
5,1,1,0.0023386155,whole_file,0.0010338490828871727,whole_file
6,1,1,0.002988647,whole_file,0.0010338490828871727,whole_file
7,1,1,0.0018601507,whole_file,0.0010338490828871727,whole_file
8,1,1,0.0023859176,whole_file,0.0010338490828871727,whole_file
9,1,1,0.0015542825,whole_file,0.0010338490828871727,whole_file
10,1,1,0.0015231002,whole_file,0.0010338490828871727,whole_file
11,1,1,0.0018209752,whole_file,0.0010338490828871727,whole_file
12,1,1,0.002354907,whole_file,0.0010338490828871727,whole_file
13,1,1,0.0023621067,whole_file,0.0010338490828871727,whole_file
14,1,1,0.0030308072,whole_file,0.0010338490828871727,whole_file
15,1,1,0.0015813991,whole_file,0.0010338490828871727,whole_file
16,1,1,0.0014567343,whole_file,0.0010338490828871727,whole_file
17,1,1,0.0020164722,whole_file,0.0010338490828871727,whole_file
18,1,1,0.0026078534,whole_file,0.0010338490828871727,whole_file
19,1,1,0.0033934836,whole_file,0.0010338490828871727,whole_file
20,1,1,0.0027214692,whole_file,0.0010338490828871727,whole_file
21,1,1,0.0020869314,whole_file,0.0010338490828871727,whole_file
22,1,1,0.002228607,whole_file,0.0010338490828871727,whole_file
23,1,1,0.0029065276,whole_file,0.0010338490828871727,whole_file
24,1,1,0.0033867967,whole_file,0.0010338490828871727,whole_file
25,1,1,0.0027776987,whole_file,0.0010338490828871727,whole_file
26,1,1,0.0025715616,whole_file,0.0010338490828871727,whole_file
27,1,1,0.002873753,whole_file,0.0010338490828871727,whole_file
28,1,1,0.0022134222,whole_file,0.0010338490828871727,whole_file
29,1,1,0.0022993009,whole_file,0.0010338490828871727,whole_file
30,1,1,0.0021758964,whole_file,0.0010338490828871727,whole_file
31,1,1,0.002536527,whole_file,0.0010338490828871727,whole_file
32,1,1,0.0038211457,whole_file,0.0010338490828871727,whole_file
