file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,1,1,0.019245245,whole_file,0.006611539516597986,whole_file
1,1,1,0.01888507,whole_file,0.006611539516597986,whole_file
2,1,1,0.015673209,whole_file,0.006611539516597986,whole_file
3,1,1,0.019374413,whole_file,0.006611539516597986,whole_file
4,1,1,0.03631396,whole_file,0.006611539516597986,whole_file
5,1,1,0.012849315,whole_file,0.006611539516597986,whole_file
6,1,1,0.044692583,whole_file,0.006611539516597986,whole_file
7,1,1,0.015498345,whole_file,0.006611539516597986,whole_file
8,1,1,0.025912829,whole_file,0.006611539516597986,whole_file
9,1,1,0.061079927,whole_file,0.006611539516597986,whole_file
10,1,1,0.020444302,whole_file,0.006611539516597986,whole_file
11,1,1,0.03251187,whole_file,0.006611539516597986,whole_file
