file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,1,1,0.011476893,whole_file,0.0046628182753920555,whole_file
1,1,1,0.019793132,whole_file,0.0046628182753920555,whole_file
2,1,1,0.008979428,whole_file,0.0046628182753920555,whole_file
3,1,1,0.0125893755,whole_file,0.0046628182753920555,whole_file
4,1,1,0.028533543,whole_file,0.0046628182753920555,whole_file
5,1,1,0.006356977,whole_file,0.0046628182753920555,whole_file
6,1,1,0.008442748,whole_file,0.0046628182753920555,whole_file
7,1,1,0.014324353,whole_file,0.0046628182753920555,whole_file
8,1,1,0.021504644,whole_file,0.0046628182753920555,whole_file
9,1,1,0.021447308,whole_file,0.0046628182753920555,whole_file
10,1,1,0.012974106,whole_file,0.0046628182753920555,whole_file
11,1,1,0.021491995,whole_file,0.0046628182753920555,whole_file
