file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,1,0.008543212,whole_file,0.0046628182753920555,whole_file
1,0,1,0.012293413,whole_file,0.0046628182753920555,whole_file
2,0,1,0.020425756,whole_file,0.0046628182753920555,whole_file
3,0,0,0.003750126,whole_file,0.0046628182753920555,whole_file
4,0,1,0.016101627,whole_file,0.0046628182753920555,whole_file
5,0,0,0.0009877967,whole_file,0.0046628182753920555,whole_file
6,0,1,0.0067705237,whole_file,0.0046628182753920555,whole_file
7,0,0,0.0025838087,whole_file,0.0046628182753920555,whole_file
8,0,0,0.002444282,whole_file,0.0046628182753920555,whole_file
9,0,0,0.0029497084,whole_file,0.0046628182753920555,whole_file
10,0,1,0.0142747,whole_file,0.0046628182753920555,whole_file
11,0,0,0.0013797269,whole_file,0.0046628182753920555,whole_file
12,0,1,0.0067705237,whole_file,0.0046628182753920555,whole_file
13,0,1,0.0048084357,whole_file,0.0046628182753920555,whole_file
14,0,0,0.0045606312,whole_file,0.0046628182753920555,whole_file
15,0,0,0.0037048322,whole_file,0.0046628182753920555,whole_file
16,0,1,0.012609925,whole_file,0.0046628182753920555,whole_file
17,0,0,0.0031165264,whole_file,0.0046628182753920555,whole_file
18,0,0,0.0016906856,whole_file,0.0046628182753920555,whole_file
19,0,0,0.0029729975,whole_file,0.0046628182753920555,whole_file
20,0,0,0.002511994,whole_file,0.0046628182753920555,whole_file
21,0,0,0.0027472668,whole_file,0.0046628182753920555,whole_file
22,0,0,0.0031220838,whole_file,0.0046628182753920555,whole_file
23,0,0,0.0016572627,whole_file,0.0046628182753920555,whole_file
24,0,0,0.0014988646,whole_file,0.0046628182753920555,whole_file
25,0,0,0.002902058,whole_file,0.0046628182753920555,whole_file
26,0,0,0.0028709318,whole_file,0.0046628182753920555,whole_file
27,0,0,0.0014782412,whole_file,0.0046628182753920555,whole_file
28,0,0,0.0015134951,whole_file,0.0046628182753920555,whole_file
29,0,0,0.00293729,whole_file,0.0046628182753920555,whole_file
30,0,0,0.0016290032,whole_file,0.0046628182753920555,whole_file
31,0,0,0.001594395,whole_file,0.0046628182753920555,whole_file
32,0,0,0.0013196843,whole_file,0.0046628182753920555,whole_file
33,0,0,0.0022469095,whole_file,0.0046628182753920555,whole_file
34,0,0,0.00307252,whole_file,0.0046628182753920555,whole_file
35,0,1,0.005211182,whole_file,0.0046628182753920555,whole_file
36,0,0,0.0044147572,whole_file,0.0046628182753920555,whole_file
37,1,1,0.01016766,whole_file,0.0046628182753920555,whole_file
38,1,1,0.00911269,whole_file,0.0046628182753920555,whole_file
39,1,0,0.0012372049,whole_file,0.0046628182753920555,whole_file
40,1,1,0.01497568,whole_file,0.0046628182753920555,whole_file
41,1,0,0.0040877457,whole_file,0.0046628182753920555,whole_file
42,1,0,0.0024856867,whole_file,0.0046628182753920555,whole_file
43,1,0,0.0012458706,whole_file,0.0046628182753920555,whole_file
44,1,0,0.001435333,whole_file,0.0046628182753920555,whole_file
45,1,0,0.0014339602,whole_file,0.0046628182753920555,whole_file
46,1,0,0.0013625285,whole_file,0.0046628182753920555,whole_file
47,1,0,0.0013024508,whole_file,0.0046628182753920555,whole_file
48,1,0,0.0023611856,whole_file,0.0046628182753920555,whole_file
49,1,1,0.015662326,whole_file,0.0046628182753920555,whole_file
50,1,1,0.008407351,whole_file,0.0046628182753920555,whole_file
51,1,1,0.011568548,whole_file,0.0046628182753920555,whole_file
52,1,0,0.0023230044,whole_file,0.0046628182753920555,whole_file
53,1,1,0.015474192,whole_file,0.0046628182753920555,whole_file
54,1,1,0.00830505,whole_file,0.0046628182753920555,whole_file
55,1,1,0.014103093,whole_file,0.0046628182753920555,whole_file
