file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,1,1,0.002250983000000,whole_file,0.979994000000000,whole_file
1,1,1,0.001267987500000,whole_file,0.979994000000000,whole_file
2,1,1,0.002217542600000,whole_file,0.979994000000000,whole_file
3,1,1,0.001360056000000,whole_file,0.979994000000000,whole_file
4,1,1,0.003442152900000,whole_file,0.979994000000000,whole_file
5,1,1,0.001899031900000,whole_file,0.979994000000000,whole_file
6,1,1,0.003326594100000,whole_file,0.979994000000000,whole_file
7,1,1,0.002372752000000,whole_file,0.979994000000000,whole_file
8,1,1,0.002133158700000,whole_file,0.979994000000000,whole_file
9,1,1,0.002607343700000,whole_file,0.979994000000000,whole_file
10,1,1,0.001725669400000,whole_file,0.979994000000000,whole_file
11,1,1,0.002797468800000,whole_file,0.979994000000000,whole_file
