file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,0,0.15697494,whole_file,0.20276141166687012,whole_file
1,0,0,0.15958455,whole_file,0.20276141166687012,whole_file
2,0,0,0.2024588,whole_file,0.20276141166687012,whole_file
3,0,0,0.18778187,whole_file,0.20276141166687012,whole_file
4,0,0,0.1814772,whole_file,0.20276141166687012,whole_file
5,0,0,0.17231067,whole_file,0.20276141166687012,whole_file
6,0,0,0.17160338,whole_file,0.20276141166687012,whole_file
7,0,0,0.17794228,whole_file,0.20276141166687012,whole_file
8,0,0,0.14922927,whole_file,0.20276141166687012,whole_file
9,0,0,0.1456293,whole_file,0.20276141166687012,whole_file
10,0,0,0.16607507,whole_file,0.20276141166687012,whole_file
11,0,0,0.15436584,whole_file,0.20276141166687012,whole_file
12,0,0,0.19412337,whole_file,0.20276141166687012,whole_file
13,0,0,0.174916,whole_file,0.20276141166687012,whole_file
14,0,1,0.21003628,whole_file,0.20276141166687012,whole_file
15,0,0,0.16414788,whole_file,0.20276141166687012,whole_file
16,0,0,0.17220178,whole_file,0.20276141166687012,whole_file
17,0,0,0.16213247,whole_file,0.20276141166687012,whole_file
18,0,0,0.16091304,whole_file,0.20276141166687012,whole_file
19,0,0,0.18491757,whole_file,0.20276141166687012,whole_file
20,0,0,0.18792023,whole_file,0.20276141166687012,whole_file
21,0,0,0.16166112,whole_file,0.20276141166687012,whole_file
22,0,0,0.1753902,whole_file,0.20276141166687012,whole_file
23,0,0,0.15972053,whole_file,0.20276141166687012,whole_file
24,0,0,0.1550828,whole_file,0.20276141166687012,whole_file
25,0,0,0.19801527,whole_file,0.20276141166687012,whole_file
26,0,0,0.17767794,whole_file,0.20276141166687012,whole_file
27,0,0,0.1883943,whole_file,0.20276141166687012,whole_file
28,0,0,0.18523425,whole_file,0.20276141166687012,whole_file
29,0,0,0.18584184,whole_file,0.20276141166687012,whole_file
30,0,0,0.16155714,whole_file,0.20276141166687012,whole_file
31,0,0,0.1741553,whole_file,0.20276141166687012,whole_file
32,0,0,0.17158082,whole_file,0.20276141166687012,whole_file
33,0,0,0.18095472,whole_file,0.20276141166687012,whole_file
34,0,0,0.1886398,whole_file,0.20276141166687012,whole_file
35,0,0,0.18897516,whole_file,0.20276141166687012,whole_file
36,0,0,0.17620422,whole_file,0.20276141166687012,whole_file
37,0,0,0.17598233,whole_file,0.20276141166687012,whole_file
38,0,0,0.161129,whole_file,0.20276141166687012,whole_file
39,0,0,0.17581211,whole_file,0.20276141166687012,whole_file
40,0,0,0.17028283,whole_file,0.20276141166687012,whole_file
41,0,0,0.16686141,whole_file,0.20276141166687012,whole_file
42,0,0,0.19857104,whole_file,0.20276141166687012,whole_file
43,0,0,0.17284073,whole_file,0.20276141166687012,whole_file
44,0,0,0.16986308,whole_file,0.20276141166687012,whole_file
45,0,0,0.16309102,whole_file,0.20276141166687012,whole_file
46,0,0,0.19546738,whole_file,0.20276141166687012,whole_file
47,0,0,0.16582087,whole_file,0.20276141166687012,whole_file
48,0,0,0.1636501,whole_file,0.20276141166687012,whole_file
49,0,0,0.15641816,whole_file,0.20276141166687012,whole_file
50,0,0,0.17818367,whole_file,0.20276141166687012,whole_file
51,0,0,0.18520829,whole_file,0.20276141166687012,whole_file
52,0,0,0.16669187,whole_file,0.20276141166687012,whole_file
53,0,0,0.18099603,whole_file,0.20276141166687012,whole_file
54,0,0,0.18151514,whole_file,0.20276141166687012,whole_file
55,0,0,0.17528671,whole_file,0.20276141166687012,whole_file
56,0,0,0.16805157,whole_file,0.20276141166687012,whole_file
57,0,0,0.20029879,whole_file,0.20276141166687012,whole_file
58,0,1,0.20463307,whole_file,0.20276141166687012,whole_file
59,0,0,0.16756237,whole_file,0.20276141166687012,whole_file
60,0,0,0.18983206,whole_file,0.20276141166687012,whole_file
61,0,0,0.17842326,whole_file,0.20276141166687012,whole_file
62,0,0,0.18780859,whole_file,0.20276141166687012,whole_file
63,0,0,0.18663351,whole_file,0.20276141166687012,whole_file
64,0,0,0.16222428,whole_file,0.20276141166687012,whole_file
65,0,0,0.1538179,whole_file,0.20276141166687012,whole_file
66,0,0,0.15570752,whole_file,0.20276141166687012,whole_file
67,0,0,0.16426355,whole_file,0.20276141166687012,whole_file
68,0,0,0.1726237,whole_file,0.20276141166687012,whole_file
69,0,1,0.21935567,whole_file,0.20276141166687012,whole_file
70,0,0,0.17430194,whole_file,0.20276141166687012,whole_file
71,0,0,0.17367561,whole_file,0.20276141166687012,whole_file
72,0,0,0.16902076,whole_file,0.20276141166687012,whole_file
73,0,0,0.17312628,whole_file,0.20276141166687012,whole_file
74,0,0,0.17366144,whole_file,0.20276141166687012,whole_file
75,0,0,0.15930538,whole_file,0.20276141166687012,whole_file
76,0,0,0.2016175,whole_file,0.20276141166687012,whole_file
77,0,0,0.17665185,whole_file,0.20276141166687012,whole_file
78,0,0,0.18021604,whole_file,0.20276141166687012,whole_file
79,0,0,0.17092493,whole_file,0.20276141166687012,whole_file
80,0,0,0.17706485,whole_file,0.20276141166687012,whole_file
81,0,0,0.18063936,whole_file,0.20276141166687012,whole_file
82,0,0,0.17800152,whole_file,0.20276141166687012,whole_file
83,0,0,0.17517912,whole_file,0.20276141166687012,whole_file
84,0,0,0.16920494,whole_file,0.20276141166687012,whole_file
85,0,0,0.18555619,whole_file,0.20276141166687012,whole_file
86,0,1,0.20445266,whole_file,0.20276141166687012,whole_file
87,0,0,0.19052574,whole_file,0.20276141166687012,whole_file
88,0,0,0.18880409,whole_file,0.20276141166687012,whole_file
89,0,0,0.18885517,whole_file,0.20276141166687012,whole_file
90,0,0,0.16692138,whole_file,0.20276141166687012,whole_file
91,0,0,0.16983995,whole_file,0.20276141166687012,whole_file
92,0,0,0.19345552,whole_file,0.20276141166687012,whole_file
93,0,0,0.1635971,whole_file,0.20276141166687012,whole_file
94,0,0,0.16830567,whole_file,0.20276141166687012,whole_file
95,0,0,0.16114227,whole_file,0.20276141166687012,whole_file
96,0,0,0.16033937,whole_file,0.20276141166687012,whole_file
97,0,0,0.16317573,whole_file,0.20276141166687012,whole_file
98,0,0,0.18493891,whole_file,0.20276141166687012,whole_file
99,0,0,0.18598868,whole_file,0.20276141166687012,whole_file
100,0,0,0.18474825,whole_file,0.20276141166687012,whole_file
101,0,0,0.18600905,whole_file,0.20276141166687012,whole_file
102,0,0,0.19415843,whole_file,0.20276141166687012,whole_file
103,0,0,0.1647192,whole_file,0.20276141166687012,whole_file
104,0,0,0.19013506,whole_file,0.20276141166687012,whole_file
105,0,0,0.17671849,whole_file,0.20276141166687012,whole_file
106,0,0,0.15785874,whole_file,0.20276141166687012,whole_file
107,0,0,0.18278222,whole_file,0.20276141166687012,whole_file
108,0,0,0.17065358,whole_file,0.20276141166687012,whole_file
109,0,0,0.17254512,whole_file,0.20276141166687012,whole_file
110,0,0,0.18324739,whole_file,0.20276141166687012,whole_file
111,0,0,0.19890969,whole_file,0.20276141166687012,whole_file
112,0,1,0.20786144,whole_file,0.20276141166687012,whole_file
113,0,1,0.20823926,whole_file,0.20276141166687012,whole_file
114,0,1,0.20401438,whole_file,0.20276141166687012,whole_file
115,0,0,0.16618524,whole_file,0.20276141166687012,whole_file
116,0,0,0.1677664,whole_file,0.20276141166687012,whole_file
117,0,1,0.20541295,whole_file,0.20276141166687012,whole_file
118,0,0,0.19211406,whole_file,0.20276141166687012,whole_file
119,0,0,0.16508281,whole_file,0.20276141166687012,whole_file
120,0,0,0.1701576,whole_file,0.20276141166687012,whole_file
121,0,0,0.18808107,whole_file,0.20276141166687012,whole_file
122,0,0,0.18642701,whole_file,0.20276141166687012,whole_file
123,0,0,0.18031345,whole_file,0.20276141166687012,whole_file
124,0,0,0.18691297,whole_file,0.20276141166687012,whole_file
125,0,0,0.16734584,whole_file,0.20276141166687012,whole_file
126,0,0,0.1576449,whole_file,0.20276141166687012,whole_file
127,0,0,0.16903076,whole_file,0.20276141166687012,whole_file
128,0,0,0.17601043,whole_file,0.20276141166687012,whole_file
129,0,0,0.17350465,whole_file,0.20276141166687012,whole_file
130,0,0,0.17484021,whole_file,0.20276141166687012,whole_file
131,0,0,0.172658,whole_file,0.20276141166687012,whole_file
132,0,0,0.18767469,whole_file,0.20276141166687012,whole_file
133,0,0,0.19227058,whole_file,0.20276141166687012,whole_file
134,0,0,0.18994579,whole_file,0.20276141166687012,whole_file
135,0,0,0.18616563,whole_file,0.20276141166687012,whole_file
136,0,0,0.18481834,whole_file,0.20276141166687012,whole_file
137,0,0,0.18517645,whole_file,0.20276141166687012,whole_file
138,0,0,0.1798424,whole_file,0.20276141166687012,whole_file
139,0,0,0.16713214,whole_file,0.20276141166687012,whole_file
140,0,0,0.16455875,whole_file,0.20276141166687012,whole_file
141,0,0,0.16222754,whole_file,0.20276141166687012,whole_file
142,0,0,0.16238637,whole_file,0.20276141166687012,whole_file
143,0,0,0.1668701,whole_file,0.20276141166687012,whole_file
144,0,0,0.18384962,whole_file,0.20276141166687012,whole_file
145,0,0,0.17492288,whole_file,0.20276141166687012,whole_file
146,0,0,0.18535256,whole_file,0.20276141166687012,whole_file
147,0,0,0.17207521,whole_file,0.20276141166687012,whole_file
148,0,0,0.17548439,whole_file,0.20276141166687012,whole_file
149,0,0,0.17398728,whole_file,0.20276141166687012,whole_file
150,0,0,0.17180268,whole_file,0.20276141166687012,whole_file
151,0,0,0.16820699,whole_file,0.20276141166687012,whole_file
152,0,0,0.16851094,whole_file,0.20276141166687012,whole_file
153,0,0,0.15783261,whole_file,0.20276141166687012,whole_file
154,0,0,0.18156089,whole_file,0.20276141166687012,whole_file
155,0,0,0.18081771,whole_file,0.20276141166687012,whole_file
156,0,0,0.16360171,whole_file,0.20276141166687012,whole_file
157,0,0,0.19407265,whole_file,0.20276141166687012,whole_file
158,0,0,0.16806908,whole_file,0.20276141166687012,whole_file
159,0,0,0.1828688,whole_file,0.20276141166687012,whole_file
160,0,0,0.16991468,whole_file,0.20276141166687012,whole_file
161,0,0,0.1619797,whole_file,0.20276141166687012,whole_file
162,0,0,0.16628046,whole_file,0.20276141166687012,whole_file
163,0,0,0.16382593,whole_file,0.20276141166687012,whole_file
164,0,0,0.1606938,whole_file,0.20276141166687012,whole_file
165,0,0,0.17263913,whole_file,0.20276141166687012,whole_file
166,0,0,0.18561168,whole_file,0.20276141166687012,whole_file
167,0,1,0.20425163,whole_file,0.20276141166687012,whole_file
168,0,0,0.16602242,whole_file,0.20276141166687012,whole_file
169,0,0,0.172578,whole_file,0.20276141166687012,whole_file
170,0,0,0.16596362,whole_file,0.20276141166687012,whole_file
171,0,0,0.17230494,whole_file,0.20276141166687012,whole_file
172,0,0,0.19371562,whole_file,0.20276141166687012,whole_file
173,0,0,0.186219,whole_file,0.20276141166687012,whole_file
174,0,0,0.16505775,whole_file,0.20276141166687012,whole_file
175,0,0,0.16756076,whole_file,0.20276141166687012,whole_file
176,0,0,0.19002838,whole_file,0.20276141166687012,whole_file
177,0,0,0.16665925,whole_file,0.20276141166687012,whole_file
178,0,0,0.16975124,whole_file,0.20276141166687012,whole_file
179,0,0,0.16972461,whole_file,0.20276141166687012,whole_file
180,0,0,0.16891299,whole_file,0.20276141166687012,whole_file
181,0,0,0.16269666,whole_file,0.20276141166687012,whole_file
182,0,0,0.16466336,whole_file,0.20276141166687012,whole_file
183,0,0,0.17624165,whole_file,0.20276141166687012,whole_file
184,0,0,0.19047603,whole_file,0.20276141166687012,whole_file
185,0,0,0.18623377,whole_file,0.20276141166687012,whole_file
186,0,0,0.18304569,whole_file,0.20276141166687012,whole_file
187,0,0,0.16595551,whole_file,0.20276141166687012,whole_file
188,0,0,0.16404347,whole_file,0.20276141166687012,whole_file
189,0,0,0.17227316,whole_file,0.20276141166687012,whole_file
190,0,0,0.17657556,whole_file,0.20276141166687012,whole_file
191,0,0,0.17739181,whole_file,0.20276141166687012,whole_file
192,0,0,0.17450264,whole_file,0.20276141166687012,whole_file
193,0,0,0.16758074,whole_file,0.20276141166687012,whole_file
194,0,0,0.16189699,whole_file,0.20276141166687012,whole_file
195,0,0,0.16552524,whole_file,0.20276141166687012,whole_file
196,0,0,0.16206214,whole_file,0.20276141166687012,whole_file
197,0,0,0.16388261,whole_file,0.20276141166687012,whole_file
198,0,0,0.1810999,whole_file,0.20276141166687012,whole_file
199,0,0,0.18049535,whole_file,0.20276141166687012,whole_file
200,0,0,0.19672641,whole_file,0.20276141166687012,whole_file
201,0,0,0.19212419,whole_file,0.20276141166687012,whole_file
202,0,0,0.16926928,whole_file,0.20276141166687012,whole_file
203,0,0,0.15676029,whole_file,0.20276141166687012,whole_file
204,0,0,0.16922677,whole_file,0.20276141166687012,whole_file
205,0,0,0.18433836,whole_file,0.20276141166687012,whole_file
206,0,0,0.15641473,whole_file,0.20276141166687012,whole_file
207,0,0,0.19236393,whole_file,0.20276141166687012,whole_file
208,0,0,0.19271775,whole_file,0.20276141166687012,whole_file
209,0,0,0.18382642,whole_file,0.20276141166687012,whole_file
210,0,0,0.16788888,whole_file,0.20276141166687012,whole_file
211,0,0,0.16783607,whole_file,0.20276141166687012,whole_file
212,0,0,0.16217606,whole_file,0.20276141166687012,whole_file
213,0,0,0.15716437,whole_file,0.20276141166687012,whole_file
214,0,0,0.18542205,whole_file,0.20276141166687012,whole_file
215,0,0,0.18165152,whole_file,0.20276141166687012,whole_file
216,0,0,0.16531108,whole_file,0.20276141166687012,whole_file
217,0,0,0.17906152,whole_file,0.20276141166687012,whole_file
218,0,0,0.16993028,whole_file,0.20276141166687012,whole_file
219,0,0,0.1721094,whole_file,0.20276141166687012,whole_file
220,0,0,0.17289482,whole_file,0.20276141166687012,whole_file
221,0,0,0.18295994,whole_file,0.20276141166687012,whole_file
222,0,0,0.18241693,whole_file,0.20276141166687012,whole_file
223,0,0,0.19106933,whole_file,0.20276141166687012,whole_file
224,0,0,0.17838083,whole_file,0.20276141166687012,whole_file
225,0,0,0.16641583,whole_file,0.20276141166687012,whole_file
226,0,0,0.17357163,whole_file,0.20276141166687012,whole_file
227,0,0,0.18075264,whole_file,0.20276141166687012,whole_file
228,0,0,0.19147268,whole_file,0.20276141166687012,whole_file
229,0,0,0.1917244,whole_file,0.20276141166687012,whole_file
230,0,0,0.18681446,whole_file,0.20276141166687012,whole_file
231,0,0,0.19931518,whole_file,0.20276141166687012,whole_file
232,0,0,0.17285196,whole_file,0.20276141166687012,whole_file
233,0,0,0.1902115,whole_file,0.20276141166687012,whole_file
234,0,0,0.19477016,whole_file,0.20276141166687012,whole_file
235,0,1,0.2037577,whole_file,0.20276141166687012,whole_file
236,0,0,0.17877412,whole_file,0.20276141166687012,whole_file
