file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,1,0,0.27644494,whole_file,0.3162144422531128,whole_file
1,0,0,0.31617633,whole_file,0.3162144422531128,whole_file
2,1,0,0.29856423,whole_file,0.3162144422531128,whole_file
3,1,0,0.23659782,whole_file,0.3162144422531128,whole_file
4,1,0,0.30927816,whole_file,0.3162144422531128,whole_file
5,1,0,0.2925131,whole_file,0.3162144422531128,whole_file
6,1,1,0.4076894,whole_file,0.3162144422531128,whole_file
7,1,0,0.2858056,whole_file,0.3162144422531128,whole_file
8,1,0,0.3069775,whole_file,0.3162144422531128,whole_file
9,1,1,0.3374488,whole_file,0.3162144422531128,whole_file
10,1,1,0.33904687,whole_file,0.3162144422531128,whole_file
11,0,0,0.25767198,whole_file,0.3162144422531128,whole_file
12,1,0,0.30270815,whole_file,0.3162144422531128,whole_file
13,1,0,0.31516987,whole_file,0.3162144422531128,whole_file
14,1,0,0.30341077,whole_file,0.3162144422531128,whole_file
15,1,0,0.28582984,whole_file,0.3162144422531128,whole_file
16,0,0,0.27323568,whole_file,0.3162144422531128,whole_file
17,1,1,0.40783054,whole_file,0.3162144422531128,whole_file
18,1,1,0.46061897,whole_file,0.3162144422531128,whole_file
19,1,1,0.43187693,whole_file,0.3162144422531128,whole_file
20,1,1,0.31907597,whole_file,0.3162144422531128,whole_file
21,1,1,0.3299089,whole_file,0.3162144422531128,whole_file
22,1,0,0.29833347,whole_file,0.3162144422531128,whole_file
23,1,0,0.29876646,whole_file,0.3162144422531128,whole_file
24,0,0,0.3078401,whole_file,0.3162144422531128,whole_file
25,0,0,0.2809679,whole_file,0.3162144422531128,whole_file
26,0,1,0.32866782,whole_file,0.3162144422531128,whole_file
