file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,1,1,0.0048333975,whole_file,0.004067900124937296,whole_file
1,1,1,0.015103467,whole_file,0.004067900124937296,whole_file
2,1,1,0.004280907,whole_file,0.004067900124937296,whole_file
3,1,1,0.007616566,whole_file,0.004067900124937296,whole_file
4,1,1,0.011796476,whole_file,0.004067900124937296,whole_file
5,1,0,0.0024584176,whole_file,0.004067900124937296,whole_file
6,1,1,0.0065446883,whole_file,0.004067900124937296,whole_file
7,1,0,0.0035077678,whole_file,0.004067900124937296,whole_file
8,1,1,0.008135383,whole_file,0.004067900124937296,whole_file
9,1,1,0.023600722,whole_file,0.004067900124937296,whole_file
10,1,1,0.007050269,whole_file,0.004067900124937296,whole_file
11,1,1,0.007950576,whole_file,0.004067900124937296,whole_file
