file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,1,0.013094279,whole_file,0.004067900124937296,whole_file
1,0,0,0.0014974517,whole_file,0.004067900124937296,whole_file
2,0,1,0.019912036,whole_file,0.004067900124937296,whole_file
3,0,1,0.00489478,whole_file,0.004067900124937296,whole_file
4,0,1,0.026039507,whole_file,0.004067900124937296,whole_file
5,0,0,0.0020155646,whole_file,0.004067900124937296,whole_file
6,0,1,0.008104192,whole_file,0.004067900124937296,whole_file
7,0,0,0.0027433163,whole_file,0.004067900124937296,whole_file
8,0,0,0.0016249741,whole_file,0.004067900124937296,whole_file
9,0,0,0.0016441685,whole_file,0.004067900124937296,whole_file
10,0,1,0.021469316,whole_file,0.004067900124937296,whole_file
11,0,0,0.0017264985,whole_file,0.004067900124937296,whole_file
12,0,1,0.008104192,whole_file,0.004067900124937296,whole_file
13,0,1,0.0050577447,whole_file,0.004067900124937296,whole_file
14,0,0,0.0015431291,whole_file,0.004067900124937296,whole_file
15,0,1,0.004794514,whole_file,0.004067900124937296,whole_file
16,0,1,0.008094309,whole_file,0.004067900124937296,whole_file
17,0,0,0.0037788872,whole_file,0.004067900124937296,whole_file
18,0,0,0.002033849,whole_file,0.004067900124937296,whole_file
19,0,0,0.0022729447,whole_file,0.004067900124937296,whole_file
20,0,0,0.0028807453,whole_file,0.004067900124937296,whole_file
21,0,0,0.0032257426,whole_file,0.004067900124937296,whole_file
22,0,0,0.0038167888,whole_file,0.004067900124937296,whole_file
23,0,0,0.0024858282,whole_file,0.004067900124937296,whole_file
24,0,0,0.002062613,whole_file,0.004067900124937296,whole_file
25,0,0,0.0026796958,whole_file,0.004067900124937296,whole_file
26,0,0,0.002882843,whole_file,0.004067900124937296,whole_file
27,0,0,0.0017468643,whole_file,0.004067900124937296,whole_file
28,0,0,0.002160366,whole_file,0.004067900124937296,whole_file
29,0,1,0.0041864305,whole_file,0.004067900124937296,whole_file
30,0,0,0.002162717,whole_file,0.004067900124937296,whole_file
31,0,0,0.0021579065,whole_file,0.004067900124937296,whole_file
32,0,0,0.0018334499,whole_file,0.004067900124937296,whole_file
33,0,0,0.0021550665,whole_file,0.004067900124937296,whole_file
34,0,0,0.0039476184,whole_file,0.004067900124937296,whole_file
35,0,1,0.006587912,whole_file,0.004067900124937296,whole_file
36,0,1,0.0056927158,whole_file,0.004067900124937296,whole_file
37,1,1,0.0044407207,whole_file,0.004067900124937296,whole_file
38,1,0,0.00334182,whole_file,0.004067900124937296,whole_file
39,1,0,0.0014825792,whole_file,0.004067900124937296,whole_file
40,1,1,0.0111084,whole_file,0.004067900124937296,whole_file
41,1,0,0.004022578,whole_file,0.004067900124937296,whole_file
42,1,0,0.0027091203,whole_file,0.004067900124937296,whole_file
43,1,0,0.0014686818,whole_file,0.004067900124937296,whole_file
44,1,0,0.0016242596,whole_file,0.004067900124937296,whole_file
45,1,0,0.0017570616,whole_file,0.004067900124937296,whole_file
46,1,0,0.0015599643,whole_file,0.004067900124937296,whole_file
47,1,0,0.0015633113,whole_file,0.004067900124937296,whole_file
48,1,0,0.0014861001,whole_file,0.004067900124937296,whole_file
49,1,1,0.010661863,whole_file,0.004067900124937296,whole_file
50,1,0,0.0034928352,whole_file,0.004067900124937296,whole_file
51,1,1,0.0061687496,whole_file,0.004067900124937296,whole_file
52,1,0,0.001376026,whole_file,0.004067900124937296,whole_file
53,1,1,0.004857948,whole_file,0.004067900124937296,whole_file
54,1,0,0.0025197265,whole_file,0.004067900124937296,whole_file
55,1,1,0.004972488,whole_file,0.004067900124937296,whole_file
