file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,1,0,0.3166594,whole_file,0.32823362946510315,whole_file
1,1,1,0.35305697,whole_file,0.32823362946510315,whole_file
2,1,0,0.28445908,whole_file,0.32823362946510315,whole_file
3,1,0,0.29695097,whole_file,0.32823362946510315,whole_file
4,1,1,0.3574811,whole_file,0.32823362946510315,whole_file
5,1,0,0.3061907,whole_file,0.32823362946510315,whole_file
6,1,0,0.3083131,whole_file,0.32823362946510315,whole_file
7,1,0,0.3181908,whole_file,0.32823362946510315,whole_file
8,1,1,0.34473455,whole_file,0.32823362946510315,whole_file
9,1,1,0.34402913,whole_file,0.32823362946510315,whole_file
10,1,1,0.34053093,whole_file,0.32823362946510315,whole_file
11,1,1,0.33823544,whole_file,0.32823362946510315,whole_file
