file_id,true_label,predicted_label,drone_probability,aggregation_method,aggregation_threshold,split
0,0,0,0.17419118,whole_file,0.32823362946510315,whole_file
1,0,0,0.21155441,whole_file,0.32823362946510315,whole_file
2,0,0,0.30407283,whole_file,0.32823362946510315,whole_file
3,0,0,0.21138631,whole_file,0.32823362946510315,whole_file
4,0,0,0.23678473,whole_file,0.32823362946510315,whole_file
5,0,0,0.22960563,whole_file,0.32823362946510315,whole_file
6,0,0,0.1736587,whole_file,0.32823362946510315,whole_file
7,0,0,0.1894828,whole_file,0.32823362946510315,whole_file
8,0,0,0.18765113,whole_file,0.32823362946510315,whole_file
9,0,0,0.1952083,whole_file,0.32823362946510315,whole_file
10,0,0,0.18271084,whole_file,0.32823362946510315,whole_file
11,0,0,0.17527258,whole_file,0.32823362946510315,whole_file
12,0,0,0.2672822,whole_file,0.32823362946510315,whole_file
13,0,0,0.2292077,whole_file,0.32823362946510315,whole_file
14,0,0,0.32312983,whole_file,0.32823362946510315,whole_file
15,0,0,0.18350612,whole_file,0.32823362946510315,whole_file
16,0,0,0.22204775,whole_file,0.32823362946510315,whole_file
17,0,0,0.19827238,whole_file,0.32823362946510315,whole_file
18,0,0,0.20102867,whole_file,0.32823362946510315,whole_file
19,0,0,0.19159035,whole_file,0.32823362946510315,whole_file
20,0,0,0.1931285,whole_file,0.32823362946510315,whole_file
21,0,0,0.19139808,whole_file,0.32823362946510315,whole_file
22,0,0,0.19282953,whole_file,0.32823362946510315,whole_file
23,0,0,0.18886429,whole_file,0.32823362946510315,whole_file
24,0,0,0.16985531,whole_file,0.32823362946510315,whole_file
25,0,0,0.27882865,whole_file,0.32823362946510315,whole_file
26,0,0,0.19162339,whole_file,0.32823362946510315,whole_file
27,0,0,0.22137442,whole_file,0.32823362946510315,whole_file
28,0,0,0.2735739,whole_file,0.32823362946510315,whole_file
29,0,0,0.24082564,whole_file,0.32823362946510315,whole_file
30,0,0,0.22148944,whole_file,0.32823362946510315,whole_file
31,0,0,0.21377821,whole_file,0.32823362946510315,whole_file
32,0,0,0.20663579,whole_file,0.32823362946510315,whole_file
33,0,0,0.26335812,whole_file,0.32823362946510315,whole_file
34,0,0,0.28232244,whole_file,0.32823362946510315,whole_file
