Rank,Model,Epoch,Dataset,Excluded_From_Ranking,Is_Single_Class,Brier_Score,F1,Accuracy,Precision,Recall,Threshold,TP,TN,FP,FN,Total_Samples
1,CNN_LSTM,1,CalibrationDataset,Yes,No,0.1294,0.8857,0.9203,0.9785,0.8091,0.98599900,500,989,11,118,1618
1,CNN_LSTM,1,DronePrint,No,Yes,0.8394,N/A,0.0000,N/A,N/A,0.98599900,0,0,0,12,12
1,CNN_LSTM,1,Emo,No,Yes,0.0411,N/A,1.0000,N/A,N/A,0.98599900,0,370,0,0,370
1,CNN_LSTM,1,ESC-50,No,Yes,0.2175,N/A,0.9642,N/A,N/A,0.98599900,0,1614,60,0,1674
1,CNN_LSTM,1,Fusion,Yes,No,0.0417,0.9778,0.9612,0.9940,0.9620,0.98599900,78966,9935,473,3116,92490
1,CNN_LSTM,1,H-2,No,Yes,0.8108,N/A,0.0000,N/A,N/A,0.98599900,0,0,0,3061,3061
1,CNN_LSTM,1,S&E,No,No,0.2750,0.0000,0.6607,0.0000,0.0000,0.98599900,0,37,0,19,56
1,CNN_LSTM,1,Authors,No,No,0.7274,0.0000,0.1111,0.0000,0.0000,0.98599900,0,3,0,24,27
1,CNN_LSTM,1,UrbanSound,No,Yes,0.1131,N/A,0.9504,N/A,N/A,0.98599900,0,7911,413,0,8324
1,CNN_LSTM,1,Wonjun_Yi,No,Yes,0.0002,N/A,1.0000,N/A,N/A,0.98599900,78966,0,0,0,78966
2,CNN_LSTM,20,CalibrationDataset,Yes,No,0.1128,0.8674,0.9061,0.9413,0.8042,0.80349900,497,969,31,121,1618
2,CNN_LSTM,20,DronePrint,No,Yes,0.8509,N/A,0.0000,N/A,N/A,0.80349900,0,0,0,12,12
2,CNN_LSTM,20,Emo,No,Yes,0.0267,N/A,1.0000,N/A,N/A,0.80349900,0,370,0,0,370
2,CNN_LSTM,20,ESC-50,No,Yes,0.1757,N/A,0.9032,N/A,N/A,0.80349900,0,1512,162,0,1674
2,CNN_LSTM,20,Fusion,Yes,No,0.0433,0.9670,0.9427,0.9900,0.9450,0.80349900,77567,9626,782,4515,92490
2,CNN_LSTM,20,H-2,No,Yes,0.8423,N/A,0.0000,N/A,N/A,0.80349900,0,0,0,3061,3061
2,CNN_LSTM,20,S&E,No,No,0.2916,0.0000,0.6607,0.0000,0.0000,0.80349900,0,37,0,19,56
2,CNN_LSTM,20,Authors,No,No,0.7754,0.0000,0.1111,0.0000,0.0000,0.80349900,0,3,0,24,27
2,CNN_LSTM,20,UrbanSound,No,Yes,0.1004,N/A,0.9255,N/A,N/A,0.80349900,0,7704,620,0,8324
2,CNN_LSTM,20,Wonjun_Yi,No,Yes,0.0030,N/A,0.9823,N/A,N/A,0.80349900,77567,0,0,1399,78966
3,CNN_LSTM,100,CalibrationDataset,Yes,No,0.1242,0.8669,0.9061,0.9447,0.8010,0.83049900,495,971,29,123,1618
3,CNN_LSTM,100,DronePrint,No,Yes,0.8485,N/A,0.0000,N/A,N/A,0.83049900,0,0,0,12,12
3,CNN_LSTM,100,Emo,No,Yes,0.0314,N/A,1.0000,N/A,N/A,0.83049900,0,370,0,0,370
3,CNN_LSTM,100,ESC-50,No,Yes,0.1967,N/A,0.9122,N/A,N/A,0.83049900,0,1527,147,0,1674
3,CNN_LSTM,100,Fusion,Yes,No,0.0460,0.9664,0.9417,0.9900,0.9438,0.83049900,77468,9628,780,4614,92490
3,CNN_LSTM,100,H-2,No,Yes,0.8343,N/A,0.0000,N/A,N/A,0.83049900,0,0,0,3061,3061
3,CNN_LSTM,100,S&E,No,No,0.2913,0.0000,0.6607,0.0000,0.0000,0.83049900,0,37,0,19,56
3,CNN_LSTM,100,Authors,No,No,0.7594,0.0000,0.1111,0.0000,0.0000,0.83049900,0,3,0,24,27
3,CNN_LSTM,100,UrbanSound,No,Yes,0.1062,N/A,0.9240,N/A,N/A,0.83049900,0,7691,633,0,8324
3,CNN_LSTM,100,Wonjun_Yi,No,Yes,0.0054,N/A,0.9810,N/A,N/A,0.83049900,77468,0,0,1498,78966
4,CNN_LSTM,50,CalibrationDataset,Yes,No,0.1271,0.8034,0.8696,0.9473,0.6974,0.80749900,431,976,24,187,1618
4,CNN_LSTM,50,DronePrint,No,Yes,0.8467,N/A,0.0000,N/A,N/A,0.80749900,0,0,0,12,12
4,CNN_LSTM,50,Emo,No,Yes,0.0251,N/A,1.0000,N/A,N/A,0.80749900,0,370,0,0,370
4,CNN_LSTM,50,ESC-50,No,Yes,0.1610,N/A,0.9205,N/A,N/A,0.80749900,0,1541,133,0,1674
4,CNN_LSTM,50,Fusion,Yes,No,0.0948,0.9075,0.8484,0.9895,0.8380,0.80749900,68788,9680,728,13294,92490
4,CNN_LSTM,50,H-2,No,Yes,0.8408,N/A,0.0000,N/A,N/A,0.80749900,0,0,0,3061,3061
4,CNN_LSTM,50,S&E,No,No,0.2914,0.0000,0.6607,0.0000,0.0000,0.80749900,0,37,0,19,56
4,CNN_LSTM,50,Authors,No,No,0.7864,0.0000,0.1111,0.0000,0.0000,0.80749900,0,3,0,24,27
4,CNN_LSTM,50,UrbanSound,No,Yes,0.0974,N/A,0.9285,N/A,N/A,0.80749900,0,7729,595,0,8324
4,CNN_LSTM,50,Wonjun_Yi,No,Yes,0.0640,N/A,0.8711,N/A,N/A,0.80749900,68788,0,0,10178,78966
5,CNN_LSTM,10,CalibrationDataset,Yes,No,0.1534,0.7946,0.8399,0.7792,0.8107,0.27700000,501,858,142,117,1618
5,CNN_LSTM,10,DronePrint,No,Yes,0.8553,N/A,0.0000,N/A,N/A,0.27700000,0,0,0,12,12
5,CNN_LSTM,10,Emo,No,Yes,0.0260,N/A,0.9514,N/A,N/A,0.27700000,0,352,18,0,370
5,CNN_LSTM,10,ESC-50,No,Yes,0.1639,N/A,0.6511,N/A,N/A,0.27700000,0,1090,584,0,1674
5,CNN_LSTM,10,Fusion,Yes,No,0.1447,0.9605,0.9308,0.9739,0.9475,0.27700000,77771,8321,2087,4311,92490
5,CNN_LSTM,10,H-2,No,Yes,0.8473,N/A,0.0000,N/A,N/A,0.27700000,0,0,0,3061,3061
5,CNN_LSTM,10,S&E,No,No,0.2935,0.0000,0.6429,0.0000,0.0000,0.27700000,0,36,1,19,56
5,CNN_LSTM,10,Authors,No,No,0.7783,0.0800,0.1481,1.0000,0.0417,0.27700000,1,3,0,23,27
5,CNN_LSTM,10,UrbanSound,No,Yes,0.0978,N/A,0.8217,N/A,N/A,0.27700000,0,6840,1484,0,8324
5,CNN_LSTM,10,Wonjun_Yi,No,Yes,0.1221,N/A,0.9849,N/A,N/A,0.27700000,77770,0,0,1196,78966
6,CNN_LSTM,5,CalibrationDataset,Yes,No,0.1981,0.7865,0.8319,0.7637,0.8107,0.23200100,501,845,155,117,1618
6,CNN_LSTM,5,DronePrint,No,Yes,0.8610,N/A,0.0000,N/A,N/A,0.23200100,0,0,0,12,12
6,CNN_LSTM,5,Emo,No,Yes,0.0257,N/A,0.9405,N/A,N/A,0.23200100,0,348,22,0,370
6,CNN_LSTM,5,ESC-50,No,Yes,0.1652,N/A,0.6237,N/A,N/A,0.23200100,0,1044,630,0,1674
6,CNN_LSTM,5,Fusion,Yes,No,0.2556,0.9643,0.9372,0.9720,0.9568,0.23200100,78539,8143,2265,3543,92490
6,CNN_LSTM,5,H-2,No,Yes,0.8548,N/A,0.0000,N/A,N/A,0.23200100,0,0,0,3061,3061
6,CNN_LSTM,5,S&E,No,No,0.2930,0.0000,0.6429,0.0000,0.0000,0.23200100,0,36,1,19,56
6,CNN_LSTM,5,Authors,No,No,0.7831,0.0800,0.1481,1.0000,0.0417,0.23200100,1,3,0,23,27
