Rank,Model,Epoch,Dataset,Excluded_From_Ranking,Is_Single_Class,Brier_Score,F1,Accuracy,Precision,Recall,Threshold,TP,TN,FP,FN,Total_Samples
1,CNN_LSTM,1,CalibrationDataset,Yes,No,0.1294,0.8764,0.9129,0.9560,0.8091,0.94776827,500,977,23,118,1618
1,CNN_LSTM,1,DronePrint,No,Yes,0.8394,N/A,0.9167,N/A,N/A,0.03463689,11,0,0,1,12
1,CNN_LSTM,1,Emo,No,Yes,0.0411,N/A,0.9865,N/A,N/A,0.48343601,0,365,5,0,370
1,CNN_LSTM,1,ESC-50,No,Yes,0.2175,N/A,0.9468,N/A,N/A,0.97780112,0,1585,89,0,1674
1,CNN_LSTM,1,Fusion,Yes,No,0.0417,0.9772,0.9601,0.9928,0.9620,0.97973377,78966,9833,575,3116,92490
1,CNN_LSTM,1,H-2,No,Yes,0.8108,N/A,0.9748,N/A,N/A,0.02056553,2984,0,0,77,3061
1,CNN_LSTM,1,S&E,No,No,0.2750,0.0000,0.6071,0.0000,0.0000,0.24251932,0,34,3,19,56
1,CNN_LSTM,1,Authors,No,No,0.7274,0.9167,0.8519,0.9167,0.9167,0.02428638,22,1,2,2,27
1,CNN_LSTM,1,UrbanSound,No,Yes,0.1131,N/A,0.9410,N/A,N/A,0.97973377,0,7833,491,0,8324
1,CNN_LSTM,1,Wonjun_Yi,No,Yes,0.0002,N/A,1.0000,N/A,N/A,0.98599900,78966,0,0,0,78966
2,CNN_LSTM,20,CalibrationDataset,Yes,No,0.1128,0.8674,0.9061,0.9413,0.8042,0.80349900,497,969,31,121,1618
2,CNN_LSTM,20,DronePrint,No,Yes,0.8509,N/A,0.9167,N/A,N/A,0.03163332,11,0,0,1,12
2,CNN_LSTM,20,Emo,No,Yes,0.0267,N/A,0.9973,N/A,N/A,0.42660101,0,369,1,0,370
2,CNN_LSTM,20,ESC-50,No,Yes,0.1757,N/A,0.9474,N/A,N/A,0.97903219,0,1586,88,0,1674
2,CNN_LSTM,20,Fusion,Yes,No,0.0433,0.9730,0.9527,0.9866,0.9597,0.61335069,78777,9337,1071,3305,92490
2,CNN_LSTM,20,H-2,No,Yes,0.8423,N/A,0.9128,N/A,N/A,0.02008287,2794,0,0,267,3061
2,CNN_LSTM,20,S&E,No,No,0.2916,0.0000,0.6071,0.0000,0.0000,0.15548032,0,34,3,19,56
2,CNN_LSTM,20,Authors,No,No,0.7754,0.6667,0.5185,0.8667,0.5417,0.03024443,13,1,2,11,27
2,CNN_LSTM,20,UrbanSound,No,Yes,0.1004,N/A,0.9423,N/A,N/A,0.97958922,0,7844,480,0,8324
2,CNN_LSTM,20,Wonjun_Yi,No,Yes,0.0030,N/A,1.0000,N/A,N/A,0.36115417,78966,0,0,0,78966
3,CNN_LSTM,100,CalibrationDataset,Yes,No,0.1242,0.8669,0.9061,0.9447,0.8010,0.83296728,495,971,29,123,1618
3,CNN_LSTM,100,DronePrint,No,Yes,0.8485,N/A,0.9167,N/A,N/A,0.03089099,11,0,0,1,12
3,CNN_LSTM,100,Emo,No,Yes,0.0314,N/A,0.9973,N/A,N/A,0.49799390,0,369,1,0,370
3,CNN_LSTM,100,ESC-50,No,Yes,0.1967,N/A,0.9205,N/A,N/A,0.92440401,0,1541,133,0,1674
3,CNN_LSTM,100,Fusion,Yes,No,0.0460,0.9697,0.9470,0.9857,0.9541,0.60688376,78318,9272,1136,3764,92490
3,CNN_LSTM,100,H-2,No,Yes,0.8343,N/A,0.9154,N/A,N/A,0.02343412,2802,0,0,259,3061
3,CNN_LSTM,100,S&E,No,No,0.2913,0.0000,0.6071,0.0000,0.0000,0.18579493,0,34,3,19,56
3,CNN_LSTM,100,Authors,No,No,0.7594,0.7000,0.5556,0.8750,0.5833,0.03566165,14,1,2,10,27
3,CNN_LSTM,100,UrbanSound,No,Yes,0.1062,N/A,0.9284,N/A,N/A,0.97869676,0,7728,596,0,8324
3,CNN_LSTM,100,Wonjun_Yi,No,Yes,0.0054,N/A,0.9994,N/A,N/A,0.02196058,78917,0,0,49,78966
4,CNN_LSTM,50,CalibrationDataset,Yes,No,0.1271,0.8034,0.8696,0.9473,0.6974,0.80749900,431,976,24,187,1618
4,CNN_LSTM,50,DronePrint,No,Yes,0.8467,N/A,0.9167,N/A,N/A,0.03235027,11,0,0,1,12
4,CNN_LSTM,50,Emo,No,Yes,0.0251,N/A,0.9973,N/A,N/A,0.28876451,0,369,1,0,370
4,CNN_LSTM,50,ESC-50,No,Yes,0.1610,N/A,0.9319,N/A,N/A,0.91363108,0,1560,114,0,1674
4,CNN_LSTM,50,Fusion,Yes,No,0.0948,0.9779,0.9602,0.9641,0.9922,0.02000024,81438,7373,3035,644,92490
4,CNN_LSTM,50,H-2,No,Yes,0.8408,N/A,0.9108,N/A,N/A,0.02025351,2788,0,0,273,3061
4,CNN_LSTM,50,S&E,No,No,0.2914,0.0000,0.6071,0.0000,0.0000,0.17770659,0,34,3,19,56
4,CNN_LSTM,50,Authors,No,No,0.7864,0.5946,0.4444,0.8462,0.4583,0.03870172,11,1,2,13,27
4,CNN_LSTM,50,UrbanSound,No,Yes,0.0974,N/A,0.9356,N/A,N/A,0.97993878,0,7788,536,0,8324
4,CNN_LSTM,50,Wonjun_Yi,No,Yes,0.0640,N/A,0.9954,N/A,N/A,0.02000024,78604,0,0,362,78966
5,CNN_LSTM,10,CalibrationDataset,Yes,No,0.1534,0.7946,0.8399,0.7792,0.8107,0.27700000,501,858,142,117,1618
5,CNN_LSTM,10,DronePrint,No,Yes,0.8553,N/A,0.9167,N/A,N/A,0.02708960,11,0,0,1,12
5,CNN_LSTM,10,Emo,No,Yes,0.0260,N/A,0.9973,N/A,N/A,0.43763218,0,369,1,0,370
5,CNN_LSTM,10,ESC-50,No,Yes,0.1639,N/A,0.9940,N/A,N/A,0.97764758,0,1664,10,0,1674
5,CNN_LSTM,10,Fusion,Yes,No,0.1447,0.9788,0.9618,0.9627,0.9955,0.03586410,81710,7244,3164,372,92490
5,CNN_LSTM,10,H-2,No,Yes,0.8473,N/A,0.9062,N/A,N/A,0.02065089,2774,0,0,287,3061
5,CNN_LSTM,10,S&E,No,No,0.2935,0.0000,0.6071,0.0000,0.0000,0.15727291,0,34,3,19,56
5,CNN_LSTM,10,Authors,No,No,0.7783,0.7000,0.5556,0.8750,0.5833,0.03016597,14,1,2,10,27
5,CNN_LSTM,10,UrbanSound,No,Yes,0.0978,N/A,0.9457,N/A,N/A,0.97964466,0,7872,452,0,8324
5,CNN_LSTM,10,Wonjun_Yi,No,Yes,0.1221,N/A,1.0000,N/A,N/A,0.18937542,78966,0,0,0,78966
6,CNN_LSTM,5,CalibrationDataset,Yes,No,0.1981,0.7871,0.8325,0.7649,0.8107,0.23392797,501,846,154,117,1618
6,CNN_LSTM,5,DronePrint,No,Yes,0.8610,N/A,0.9167,N/A,N/A,0.02209321,11,0,0,1,12
6,CNN_LSTM,5,Emo,No,Yes,0.0257,N/A,0.9973,N/A,N/A,0.50187271,0,369,1,0,370
6,CNN_LSTM,5,ESC-50,No,Yes,0.1652,N/A,0.9946,N/A,N/A,0.97498055,0,1665,9,0,1674
6,CNN_LSTM,5,Fusion,Yes,No,0.2556,0.9665,0.9408,0.9710,0.9620,0.20545153,78960,8051,2357,3122,92490
6,CNN_LSTM,5,H-2,No,Yes,0.8548,N/A,0.9085,N/A,N/A,0.02047198,2781,0,0,280,3061
6,CNN_LSTM,5,S&E,No,No,0.2930,0.0000,0.6071,0.0000,0.0000,0.13924645,0,34,3,19,56
6,CNN_LSTM,5,Authors,No,No,0.7831,0.7317,0.5926,0.8824,0.6250,0.02819868,15,1,2,9,27
6,CNN_LSTM,5,UrbanSound,No,Yes,0.0934,N/A,0.9667,N/A,N/A,0.97997034,0,8047,277,0,8324
6,CNN_LSTM,5,Wonjun_Yi,No,Yes,0.2522,N/A,1.0000,N/A,N/A,0.20045371,78964,0,0,2,78966
7,Wav2Vec2_GaussianNoise,5,CalibrationDataset,Yes,No,0.1019,0.8537,0.8949,0.9084,0.8052,0.54257840,496,952,50,120,1618
7,Wav2Vec2_GaussianNoise,5,DronePrint,No,Yes,0.2706,N/A,1.0000,N/A,N/A,0.23767711,12,0,0,0,12
7,Wav2Vec2_GaussianNoise,5,Emo,No,Yes,0.0268,N/A,0.9973,N/A,N/A,0.69699300,0,369,1,0,370
7,Wav2Vec2_GaussianNoise,5,ESC-50,No,Yes,0.0108,N/A,0.9994,N/A,N/A,0.82052470,0,1673,1,0,1674
7,Wav2Vec2_GaussianNoise,5,Fusion,Yes,No,0.2762,0.9705,0.9472,0.9627,0.9784,0.02734187,80307,7298,3113,1772,92490
7,Wav2Vec2_GaussianNoise,5,H-2,No,Yes,0.8492,N/A,0.5779,N/A,N/A,0.02004213,1769,0,0,1292,3061
7,Wav2Vec2_GaussianNoise,5,Authors,No,No,0.6100,0.5000,0.4815,1.0000,0.3333,0.10285112,7,6,0,14,27
7,Wav2Vec2_GaussianNoise,5,S&E,No,No,0.2916,0.4571,0.6607,0.5000,0.4211,0.11563919,8,29,8,11,56
7,Wav2Vec2_GaussianNoise,5,UrbanSound,No,Yes,0.0322,N/A,0.9999,N/A,N/A,0.86745596,0,8323,1,0,8324
7,Wav2Vec2_GaussianNoise,5,Wonjun_Yi,No,Yes,0.2864,N/A,0.9999,N/A,N/A,0.02015315,78955,0,0,11,78966
8,Wav2Vec2_Vanilla,1,CalibrationDataset,Yes,No,0.2038,0.8604,0.9005,0.9236,0.8052,0.32823363,496,961,41,120,1618
8,Wav2Vec2_Vanilla,1,DronePrint,No,Yes,0.4551,N/A,1.0000,N/A,N/A,0.28445908,12,0,0,0,12
8,Wav2Vec2_Vanilla,1,Emo,No,Yes,0.0623,N/A,0.9892,N/A,N/A,0.32835868,0,366,4,0,370
8,Wav2Vec2_Vanilla,1,ESC-50,No,Yes,0.0492,N/A,0.9988,N/A,N/A,0.39795540,0,1672,2,0,1674
8,Wav2Vec2_Vanilla,1,Fusion,Yes,No,0.4035,0.9746,0.9552,0.9826,0.9667,0.28658970,79342,9005,1406,2737,92490
8,Wav2Vec2_Vanilla,1,H-2,No,Yes,0.5596,N/A,0.9993,N/A,N/A,0.18360016,3059,0,0,2,3061
8,Wav2Vec2_Vanilla,1,Authors,No,No,0.4316,0.8936,0.8148,0.8077,1.0000,0.22692542,21,1,5,0,27
8,Wav2Vec2_Vanilla,1,S&E,No,No,0.2220,0.7037,0.7143,0.5429,1.0000,0.24450704,19,21,16,0,56
8,Wav2Vec2_Vanilla,1,UrbanSound,No,Yes,0.0613,N/A,0.9999,N/A,N/A,0.44000918,0,8323,1,0,8324
8,Wav2Vec2_Vanilla,1,Wonjun_Yi,No,Yes,0.4428,N/A,0.9999,N/A,N/A,0.26813343,78962,0,0,4,78966
9,Wav2Vec2_BandPassSurefire,5,CalibrationDataset,Yes,No,0.1332,0.8585,0.8912,0.8503,0.8669,0.33254519,534,908,94,82,1618
9,Wav2Vec2_BandPassSurefire,5,DronePrint,No,Yes,0.1576,N/A,0.9167,N/A,N/A,0.41288492,11,0,0,1,12
