Rank,Model,Epoch,Weighted_Brier,Avg_Brier,Median_Brier,Min_Brier,Max_Brier,Weighted_Accuracy,Avg_Accuracy,Weighted_F1,Avg_F1,Median_F1,Avg_Precision,Avg_Recall,Median_Threshold,Total_Samples,Total_Datasets,Two_Class,Single_Class,Two_Class_Samples,Two_Class_Pct
1,CNN_LSTM,1,0.0417,0.3781,0.2463,0.0002,0.8394,0.9612,0.5858,0.0000,0.0000,0.0000,0.0000,0.0000,0.98599900,92490,8,2,6,83,0.1%
2,CNN_LSTM,20,0.0433,0.3833,0.2337,0.0030,0.8509,0.9427,0.5729,0.0000,0.0000,0.0000,0.0000,0.0000,0.80349900,92490,8,2,6,83,0.1%
3,CNN_LSTM,100,0.0460,0.3842,0.2440,0.0054,0.8485,0.9417,0.5736,0.0000,0.0000,0.0000,0.0000,0.0000,0.83049900,92490,8,2,6,83,0.1%
4,CNN_LSTM,50,0.0948,0.3891,0.2262,0.0251,0.8467,0.8484,0.5615,0.0000,0.0000,0.0000,0.0000,0.0000,0.80749900,92490,8,2,6,83,0.1%
5,CNN_LSTM,10,0.1447,0.3980,0.2287,0.0260,0.8553,0.9308,0.5250,0.0260,0.0400,0.0400,0.5000,0.0208,0.27700000,92490,8,2,6,83,0.1%
6,CNN_LSTM,5,0.2556,0.4161,0.2726,0.0257,0.8610,0.9372,0.5195,0.0260,0.0400,0.0400,0.5000,0.0208,0.23200100,92490,8,2,6,83,0.1%
7,Wav2Vec2_GaussianNoise,5,0.2762,0.2972,0.2785,0.0108,0.8492,0.5422,0.5994,0.0587,0.0435,0.0435,0.1250,0.0263,0.54113591,92490,8,2,6,83,0.1%
8,Wav2Vec2_Vanilla,1,0.4035,0.2855,0.3268,0.0492,0.5596,0.6478,0.6206,0.0000,0.0000,0.0000,0.0000,0.0000,0.32823363,92490,8,2,6,83,0.1%
9,Wav2Vec2_BandPassSurefire,5,0.4281,0.2630,0.1947,0.0207,0.6735,0.5042,0.6842,0.3578,0.3647,0.3647,0.7500,0.2506,0.33254519,92490,8,2,6,83,0.1%
10,Wav2Vec2_GaussianAndBandPass,5,0.4295,0.2604,0.2431,0.0721,0.4834,0.5088,0.6563,0.4697,0.4862,0.4862,0.6490,0.4273,0.31621444,92490,8,2,6,83,0.1%
11,Wav2Vec2_GaussianNoise,1,0.4318,0.3101,0.3501,0.0543,0.5971,0.9600,0.6064,0.0000,0.0000,0.0000,0.0000,0.0000,0.30406919,92490,8,2,6,83,0.1%
12,Wav2Vec2_BandPassSurefire,1,0.4702,0.2947,0.3245,0.0496,0.5569,0.4762,0.6726,0.4470,0.4521,0.4521,0.6581,0.3509,0.28066015,92490,8,2,6,83,0.1%
13,Wav2Vec2_Vanilla,5,0.4768,0.3081,0.2495,0.0119,0.8036,0.3920,0.6316,0.3040,0.3081,0.3081,0.7500,0.2005,0.34963050,92490,8,2,6,83,0.1%
14,Wav2Vec2_GaussianAndBandPass,1,0.5591,0.3465,0.3850,0.0309,0.6593,0.9588,0.7145,0.1541,0.1938,0.1938,0.4833,0.1216,0.20276141,92490,8,2,6,83,0.1%
15,Wav2Vec2_AllAugments,1,0.7328,0.3257,0.3311,0.0358,0.8318,0.1090,0.6012,0.5103,0.5968,0.5968,0.5208,0.7419,0.21487400,92490,8,2,6,83,0.1%
16,Wav2Vec2_GaussianNoise,10,0.8000,0.4739,0.5385,0.0004,0.9749,0.5323,0.6373,0.3149,0.3163,0.3163,0.6923,0.2268,0.02706548,92490,8,2,6,83,0.1%
17,Wav2Vec2_Clipped,1,0.8260,0.3364,0.3067,0.0095,0.9410,0.1217,0.6646,0.5716,0.6308,0.6308,0.5568,0.7444,0.12388600,92490,8,2,6,83,0.1%
18,Wav2Vec2_BandPassSurefire,10,0.8329,0.4692,0.5261,0.0003,0.9524,0.6172,0.7223,0.5472,0.5726,0.5726,0.7647,0.4749,0.02587248,92490,8,2,6,83,0.1%
19,Wav2Vec2_Vanilla,10,0.8352,0.4784,0.5366,0.0003,0.9689,0.5312,0.6801,0.4928,0.4803,0.4803,0.8333,0.3534,0.02434713,92490,8,2,6,83,0.1%
20,Wav2Vec2_GaussianAndBandPass,10,0.8695,0.4774,0.5266,0.0009,0.9804,0.7355,0.5003,0.6187,0.6789,0.6789,0.5543,0.9762,0.00554129,92490,8,2,6,83,0.1%
21,Wav2Vec2_AllAugments,5,0.8735,0.4954,0.5340,0.0003,0.9851,0.8127,0.5111,0.6265,0.6908,0.6908,0.5585,1.0000,0.00661154,92490,8,2,6,83,0.1%
22,Wav2Vec2_BandPassSurefire,15,0.8776,0.5063,0.5516,0.0000,0.9895,0.5488,0.6961,0.5229,0.5493,0.5493,0.6914,0.4749,0.00466282,92490,8,2,6,83,0.1%
23,Wav2Vec2_GaussianNoise,15,0.8796,0.5099,0.5547,0.0000,0.9956,0.3168,0.5774,0.3382,0.3502,0.3502,0.6579,0.2769,0.00406790,92490,8,2,6,83,0.1%
24,Wav2Vec2_GaussianAndBandPass,15,0.8801,0.5055,0.5508,0.0000,0.9918,0.2908,0.5759,0.5457,0.5820,0.5820,0.6323,0.5752,0.00458697,92490,8,2,6,83,0.1%
25,Wav2Vec2_Clipped,5,0.8814,0.5038,0.5422,0.0001,0.9938,0.8875,0.5147,0.6265,0.6908,0.6908,0.5585,1.0000,0.00228136,92490,8,2,6,83,0.1%
26,Wav2Vec2_AllAugments,10,0.8821,0.5092,0.5512,0.0000,0.9942,0.8858,0.5162,0.6265,0.6908,0.6908,0.5585,1.0000,0.00215925,92490,8,2,6,83,0.1%
27,Wav2Vec2_AllAugments,15,0.8839,0.5113,0.5539,0.0000,0.9961,0.1125,0.4853,0.0000,0.0000,0.0000,0.0000,0.0000,0.97999400,92490,8,2,6,83,0.1%
28,Wav2Vec2_GaussianAndBandPass,20,0.8844,0.5116,0.5556,0.0000,0.9966,0.2685,0.5416,0.5262,0.5859,0.5859,0.5993,0.6228,0.00183351,92490,8,2,6,83,0.1%
29,Wav2Vec2_AllAugments,20,0.8846,0.5120,0.5549,0.0000,0.9969,0.8875,0.5150,0.6265,0.6908,0.6908,0.5585,1.0000,0.00103385,92490,8,2,6,83,0.1%
30,Wav2Vec2_BandPassSurefire,20,0.8846,0.5120,0.5560,0.0000,0.9968,0.4032,0.6696,0.5131,0.5528,0.5528,0.6629,0.4987,0.00160137,92490,8,2,6,83,0.1%
31,Wav2Vec2_Clipped,10,0.8846,0.5096,0.5501,0.0000,0.9971,0.1125,0.4853,0.0000,0.0000,0.0000,0.0000,0.0000,0.97999400,92490,8,2,6,83,0.1%
32,Wav2Vec2_Clipped,20,0.8852,0.5116,0.5531,0.0000,0.9977,0.1126,0.4854,0.0000,0.0000,0.0000,0.0000,0.0000,0.97999400,92490,8,2,6,83,0.1%
33,Wav2Vec2_Clipped,15,0.8853,0.5111,0.5516,0.0000,0.9976,0.1125,0.4853,0.0000,0.0000,0.0000,0.0000,0.0000,0.97999400,92490,8,2,6,83,0.1%
34,Wav2Vec2_Vanilla,15,0.8857,0.5115,0.5556,0.0000,0.9981,0.6001,0.6062,0.5702,0.6429,0.6429,0.5346,0.8709,0.00047439,92490,8,2,6,83,0.1%
35,Wav2Vec2_GaussianNoise,20,0.8860,0.5134,0.5572,0.0000,0.9984,0.6207,0.4818,0.6265,0.6908,0.6908,0.5585,1.0000,0.00063056,92490,8,2,6,83,0.1%
36,Wav2Vec2_Vanilla,20,0.8870,0.5140,0.5578,0.0000,0.9996,0.7414,0.5134,0.6265,0.6908,0.6908,0.5585,1.0000,0.00018674,92490,8,2,6,83,0.1%
37,Resnet_34,50,0.8884,0.4707,0.4331,0.0000,1.0000,0.0846,0.5450,0.6025,0.6716,0.6716,0.6914,0.6535,0.00004500,92490,8,2,6,83,0.1%
38,Resnet_34,20,0.8893,0.4726,0.4172,0.0000,1.0000,0.0837,0.5105,0.6322,0.6853,0.6853,0.7045,0.6908,0.00015900,92490,8,2,6,83,0.1%
39,Resnet_34,100,0.8898,0.4925,0.4627,0.0000,1.0000,0.0859,0.5335,0.6449,0.7031,0.7031,0.7045,0.7061,0.00004600,92490,8,2,6,83,0.1%
40,Resnet_34,1,0.9639,0.5930,0.8168,0.0000,1.0000,0.0383,0.4080,0.6344,0.7138,0.7138,0.6081,0.9737,0.99720400,92490,8,2,6,83,0.1%
41,Resnet_34,10,0.9639,0.5932,0.8171,0.0000,1.0000,0.0359,0.4066,0.6480,0.7239,0.7239,0.6141,1.0000,0.49950000,92490,8,2,6,83,0.1%
