Rank,Model,Epoch,Weighted_Brier,Avg_Brier,Median_Brier,Min_Brier,Max_Brier,Weighted_Accuracy,Avg_Accuracy,Weighted_F1,Avg_F1,Median_F1,Avg_Precision,Avg_Recall,Median_Threshold,Total_Samples,Total_Datasets,Two_Class,Single_Class,Two_Class_Samples,Two_Class_Pct
1,CNN_LSTM,1,0.0417,0.3781,0.2463,0.0002,0.8394,0.9926,0.9031,0.2982,0.4583,0.4583,0.4583,0.4583,0.36297767,92490,8,2,6,83,0.1%
2,CNN_LSTM,20,0.0433,0.3833,0.2337,0.0030,0.8509,0.9906,0.8553,0.2169,0.3333,0.3333,0.4333,0.2708,0.25831724,92490,8,2,6,83,0.1%
3,CNN_LSTM,100,0.0460,0.3842,0.2440,0.0054,0.8485,0.9884,0.8550,0.2277,0.3500,0.3500,0.4375,0.2917,0.11072829,92490,8,2,6,83,0.1%
4,CNN_LSTM,50,0.0948,0.3891,0.2262,0.0251,0.8467,0.9857,0.8424,0.1934,0.2973,0.2973,0.4231,0.2292,0.10820415,92490,8,2,6,83,0.1%
5,CNN_LSTM,10,0.1447,0.3980,0.2287,0.0260,0.8553,0.9915,0.8653,0.2277,0.3500,0.3500,0.4375,0.2917,0.17332416,92490,8,2,6,83,0.1%
6,CNN_LSTM,5,0.2556,0.4161,0.2726,0.0257,0.8610,0.9935,0.8729,0.2380,0.3659,0.3659,0.4412,0.3125,0.16985008,92490,8,2,6,83,0.1%
7,Wav2Vec2_GaussianNoise,5,0.2762,0.2972,0.2785,0.0108,0.8492,0.9855,0.8396,0.4711,0.4786,0.4786,0.7500,0.3772,0.17665815,92490,8,2,6,83,0.1%
8,Wav2Vec2_Vanilla,1,0.4035,0.2855,0.3268,0.0492,0.5596,0.9996,0.9395,0.7655,0.7987,0.7987,0.6753,1.0000,0.27629625,92490,8,2,6,83,0.1%
9,Wav2Vec2_BandPassSurefire,5,0.4281,0.2630,0.1947,0.0207,0.6735,0.9978,0.9215,0.7569,0.7923,0.7923,0.6677,1.0000,0.24599403,92490,8,2,6,83,0.1%
10,Wav2Vec2_GaussianAndBandPass,5,0.4295,0.2604,0.2431,0.0721,0.4834,0.9995,0.8766,0.6715,0.7278,0.7278,0.6240,0.9236,0.35783349,92490,8,2,6,83,0.1%
11,Wav2Vec2_GaussianNoise,1,0.4318,0.3101,0.3501,0.0543,0.5971,0.9995,0.9270,0.7180,0.7635,0.7635,0.6356,1.0000,0.26818886,92490,8,2,6,83,0.1%
12,Wav2Vec2_BandPassSurefire,1,0.4702,0.2947,0.3245,0.0496,0.5569,0.9995,0.8987,0.6865,0.7206,0.7206,0.6175,0.9286,0.27018884,92490,8,2,6,83,0.1%
13,Wav2Vec2_Vanilla,5,0.4768,0.3081,0.2495,0.0119,0.8036,0.9864,0.8795,0.6071,0.6646,0.6646,0.7327,0.6153,0.23265999,92490,8,2,6,83,0.1%
14,Wav2Vec2_GaussianAndBandPass,1,0.5591,0.3465,0.3850,0.0309,0.6593,0.9992,0.8771,0.5408,0.6260,0.6260,0.5327,0.8183,0.19410197,92490,8,2,6,83,0.1%
15,Wav2Vec2_AllAugments,1,0.7328,0.3257,0.3311,0.0358,0.8318,0.9995,0.8861,0.5563,0.6359,0.6359,0.5797,0.7155,0.25874961,92490,8,2,6,83,0.1%
16,Wav2Vec2_GaussianNoise,10,0.8000,0.4739,0.5385,0.0004,0.9749,0.6229,0.7021,0.3149,0.3163,0.3163,0.6923,0.2268,0.02706548,92490,8,2,6,83,0.1%
17,Wav2Vec2_Clipped,1,0.8260,0.3364,0.3067,0.0095,0.9410,0.9995,0.9036,0.5837,0.6494,0.6494,0.5909,0.7444,0.14475833,92490,8,2,6,83,0.1%
18,Wav2Vec2_BandPassSurefire,10,0.8329,0.4692,0.5261,0.0003,0.9524,0.7405,0.7578,0.5671,0.5873,0.5873,0.8000,0.4749,0.05050490,92490,8,2,6,83,0.1%
19,Wav2Vec2_Vanilla,10,0.8352,0.4784,0.5366,0.0003,0.9689,0.6084,0.7220,0.4928,0.4803,0.4803,0.8333,0.3534,0.02782269,92490,8,2,6,83,0.1%
20,Wav2Vec2_GaussianAndBandPass,10,0.8695,0.4774,0.5266,0.0009,0.9804,0.1799,0.6427,0.4787,0.5166,0.5166,0.6212,0.5013,0.04100602,92490,8,2,6,83,0.1%
21,Wav2Vec2_AllAugments,5,0.8735,0.4954,0.5340,0.0003,0.9851,0.1261,0.6270,0.4361,0.5008,0.5008,0.5865,0.4436,0.02231681,92490,8,2,6,83,0.1%
22,Wav2Vec2_BandPassSurefire,15,0.8776,0.5063,0.5516,0.0000,0.9895,0.1134,0.5580,0.2033,0.3125,0.3125,0.4545,0.2381,0.02095888,92490,8,2,6,83,0.1%
23,Wav2Vec2_GaussianNoise,15,0.8796,0.5099,0.5547,0.0000,0.9956,0.1424,0.5187,0.1251,0.1923,0.1923,0.5000,0.1190,0.02253502,92490,8,2,6,83,0.1%
24,Wav2Vec2_GaussianAndBandPass,15,0.8801,0.5055,0.5508,0.0000,0.9918,0.1148,0.5514,0.0882,0.0889,0.0889,0.6250,0.0501,0.02479141,92490,8,2,6,83,0.1%
25,Wav2Vec2_Clipped,5,0.8814,0.5038,0.5422,0.0001,0.9938,0.9664,0.6344,0.1456,0.1726,0.1726,0.7500,0.0977,0.03551681,92490,8,2,6,83,0.1%
26,Wav2Vec2_AllAugments,10,0.8821,0.5092,0.5512,0.0000,0.9942,0.1128,0.6393,0.6265,0.6908,0.6908,0.5585,1.0000,0.02369888,92490,8,2,6,83,0.1%
27,Wav2Vec2_AllAugments,15,0.8839,0.5113,0.5539,0.0000,0.9961,0.1127,0.4849,0.0000,0.0000,0.0000,0.0000,0.0000,0.97999400,92490,8,2,6,83,0.1%
28,Wav2Vec2_GaussianAndBandPass,20,0.8844,0.5116,0.5556,0.0000,0.9966,0.1194,0.5773,0.5262,0.5859,0.5859,0.5993,0.6228,0.00183351,92490,8,2,6,83,0.1%
29,Wav2Vec2_AllAugments,20,0.8846,0.5120,0.5549,0.0000,0.9969,0.1459,0.7642,0.6265,0.6908,0.6908,0.5585,1.0000,0.01144427,92490,8,2,6,83,0.1%
30,Wav2Vec2_BandPassSurefire,20,0.8846,0.5120,0.5560,0.0000,0.9968,0.4239,0.6984,0.5131,0.5528,0.5528,0.6629,0.4987,0.00160137,92490,8,2,6,83,0.1%
31,Wav2Vec2_Clipped,10,0.8846,0.5096,0.5501,0.0000,0.9971,0.1126,0.4921,0.0970,0.0955,0.0955,1.0000,0.0501,0.05856538,92490,8,2,6,83,0.1%
32,Wav2Vec2_Clipped,20,0.8852,0.5116,0.5531,0.0000,0.9977,0.1126,0.4897,0.0296,0.0455,0.0455,0.5000,0.0238,0.09279382,92490,8,2,6,83,0.1%
33,Wav2Vec2_Clipped,15,0.8853,0.5111,0.5516,0.0000,0.9976,0.1126,0.4920,0.0970,0.0955,0.0955,1.0000,0.0501,0.20931196,92490,8,2,6,83,0.1%
34,Wav2Vec2_Vanilla,15,0.8857,0.5115,0.5556,0.0000,0.9981,0.1095,0.3616,0.3229,0.2628,0.2628,0.6500,0.4185,0.02310228,92490,8,2,6,83,0.1%
35,Wav2Vec2_GaussianNoise,20,0.8860,0.5134,0.5572,0.0000,0.9984,0.1227,0.5136,0.6265,0.6908,0.6908,0.5585,1.0000,0.00063056,92490,8,2,6,83,0.1%
36,Wav2Vec2_Vanilla,20,0.8870,0.5140,0.5578,0.0000,0.9996,0.8252,0.6298,0.6265,0.6908,0.6908,0.5585,1.0000,0.00018674,92490,8,2,6,83,0.1%
37,Resnet_34,50,0.8884,0.4707,0.4331,0.0000,1.0000,0.1122,0.5388,0.4865,0.4900,0.4900,1.0000,0.3246,0.19734199,92490,8,2,6,83,0.1%
38,Resnet_34,20,0.8893,0.4726,0.4172,0.0000,1.0000,0.1120,0.5436,0.5578,0.5504,0.5504,0.8944,0.3980,0.10426910,92490,8,2,6,83,0.1%
39,Resnet_34,100,0.8898,0.4925,0.4627,0.0000,1.0000,0.1108,0.5066,0.5321,0.5314,0.5314,0.8136,0.3980,0.07304748,92490,8,2,6,83,0.1%
40,Resnet_34,1,0.9639,0.5930,0.8168,0.0000,1.0000,0.0373,0.4088,0.6480,0.7239,0.7239,0.6141,1.0000,0.99720400,92490,8,2,6,83,0.1%
41,Resnet_34,10,0.9639,0.5932,0.8171,0.0000,1.0000,0.0364,0.4074,0.6480,0.7239,0.7239,0.6141,1.0000,0.49950000,92490,8,2,6,83,0.1%
42,Resnet_34,5,0.9643,0.5937,0.8192,0.0000,1.0000,0.0361,0.4068,0.6480,0.7239,0.7239,0.6141,1.0000,0.49650000,92490,8,2,6,83,0.1%
