Model,Epoch,Dataset,Is_Single_Class,Calibrated_Threshold,Optimized_Threshold,Threshold_Diff,Calibrated_F1,Optimized_F1,F1_Improvement,Calibrated_Brier,Optimized_Brier,Brier_Improvement
CNN_LSTM,100,CalibrationDataset,No,0.83049900,0.83296728,+0.00246828,0.8669,0.8669,+0.0000,0.1242,0.1242,+0.0000
CNN_LSTM,100,DronePrint,Yes,0.83049900,0.03089099,-0.79960801,nan,nan,+nan,0.8485,0.8485,+0.0000
CNN_LSTM,100,Emo,Yes,0.83049900,0.49799390,-0.33250510,nan,nan,+nan,0.0314,0.0314,+0.0000
CNN_LSTM,100,ESC-50,Yes,0.83049900,0.92440401,+0.09390501,nan,nan,+nan,0.1967,0.1967,+0.0000
CNN_LSTM,100,Fusion,No,0.83049900,0.60688376,-0.22361524,0.9664,0.9697,+0.0033,0.0460,0.0460,+0.0000
CNN_LSTM,100,H-2,Yes,0.83049900,0.02343412,-0.80706488,nan,nan,+nan,0.8343,0.8343,+0.0000
CNN_LSTM,100,S&E,No,0.83049900,0.18579493,-0.64470407,0.0000,0.0000,+0.0000,0.2913,0.2913,+0.0000
CNN_LSTM,100,Authors,No,0.83049900,0.03566165,-0.79483735,0.0000,0.7000,+0.7000,0.7594,0.7594,+0.0000
CNN_LSTM,100,UrbanSound,Yes,0.83049900,0.97869676,+0.14819776,nan,nan,+nan,0.1062,0.1062,+0.0000
CNN_LSTM,100,Wonjun_Yi,Yes,0.83049900,0.02196058,-0.80853842,nan,nan,+nan,0.0054,0.0054,+0.0000
CNN_LSTM,10,CalibrationDataset,No,0.27700000,0.27700000,+0.00000000,0.7946,0.7946,+0.0000,0.1534,0.1534,+0.0000
CNN_LSTM,10,DronePrint,Yes,0.27700000,0.02708960,-0.24991040,nan,nan,+nan,0.8553,0.8553,+0.0000
CNN_LSTM,10,Emo,Yes,0.27700000,0.43763218,+0.16063218,nan,nan,+nan,0.0260,0.0260,+0.0000
CNN_LSTM,10,ESC-50,Yes,0.27700000,0.97764758,+0.70064758,nan,nan,+nan,0.1639,0.1639,+0.0000
CNN_LSTM,10,Fusion,No,0.27700000,0.03586410,-0.24113590,0.9605,0.9788,+0.0183,0.1447,0.1447,+0.0000
CNN_LSTM,10,H-2,Yes,0.27700000,0.02065089,-0.25634911,nan,nan,+nan,0.8473,0.8473,+0.0000
CNN_LSTM,10,S&E,No,0.27700000,0.15727291,-0.11972709,0.0000,0.0000,+0.0000,0.2935,0.2935,+0.0000
CNN_LSTM,10,Authors,No,0.27700000,0.03016597,-0.24683403,0.0800,0.7000,+0.6200,0.7783,0.7783,+0.0000
CNN_LSTM,10,UrbanSound,Yes,0.27700000,0.97964466,+0.70264466,nan,nan,+nan,0.0978,0.0978,+0.0000
CNN_LSTM,10,Wonjun_Yi,Yes,0.27700000,0.18937542,-0.08762458,nan,nan,+nan,0.1221,0.1221,+0.0000
CNN_LSTM,1,CalibrationDataset,No,0.98599900,0.94776827,-0.03823073,0.8857,0.8764,-0.0093,0.1294,0.1294,+0.0000
CNN_LSTM,1,DronePrint,Yes,0.98599900,0.03463689,-0.95136211,nan,nan,+nan,0.8394,0.8394,+0.0000
CNN_LSTM,1,Emo,Yes,0.98599900,0.48343601,-0.50256299,nan,nan,+nan,0.0411,0.0411,+0.0000
CNN_LSTM,1,ESC-50,Yes,0.98599900,0.97780112,-0.00819788,nan,nan,+nan,0.2175,0.2175,+0.0000
CNN_LSTM,1,Fusion,No,0.98599900,0.97973377,-0.00626523,0.9778,0.9772,-0.0006,0.0417,0.0417,+0.0000
CNN_LSTM,1,H-2,Yes,0.98599900,0.02056553,-0.96543347,nan,nan,+nan,0.8108,0.8108,+0.0000
CNN_LSTM,1,S&E,No,0.98599900,0.24251932,-0.74347968,0.0000,0.0000,+0.0000,0.2750,0.2750,+0.0000
CNN_LSTM,1,Authors,No,0.98599900,0.02428638,-0.96171262,0.0000,0.9167,+0.9167,0.7274,0.7274,+0.0000
CNN_LSTM,1,UrbanSound,Yes,0.98599900,0.97973377,-0.00626523,nan,nan,+nan,0.1131,0.1131,+0.0000
CNN_LSTM,1,Wonjun_Yi,Yes,0.98599900,0.98599900,+0.00000000,nan,nan,+nan,0.0002,0.0002,+0.0000
CNN_LSTM,20,CalibrationDataset,No,0.80349900,0.80349900,+0.00000000,0.8674,0.8674,+0.0000,0.1128,0.1128,+0.0000
CNN_LSTM,20,DronePrint,Yes,0.80349900,0.03163332,-0.77186568,nan,nan,+nan,0.8509,0.8509,+0.0000
CNN_LSTM,20,Emo,Yes,0.80349900,0.42660101,-0.37689799,nan,nan,+nan,0.0267,0.0267,+0.0000
CNN_LSTM,20,ESC-50,Yes,0.80349900,0.97903219,+0.17553319,nan,nan,+nan,0.1757,0.1757,+0.0000
CNN_LSTM,20,Fusion,No,0.80349900,0.61335069,-0.19014831,0.9670,0.9730,+0.0060,0.0433,0.0433,+0.0000
CNN_LSTM,20,H-2,Yes,0.80349900,0.02008287,-0.78341613,nan,nan,+nan,0.8423,0.8423,+0.0000
CNN_LSTM,20,S&E,No,0.80349900,0.15548032,-0.64801868,0.0000,0.0000,+0.0000,0.2916,0.2916,+0.0000
CNN_LSTM,20,Authors,No,0.80349900,0.03024443,-0.77325457,0.0000,0.6667,+0.6667,0.7754,0.7754,+0.0000
CNN_LSTM,20,UrbanSound,Yes,0.80349900,0.97958922,+0.17609022,nan,nan,+nan,0.1004,0.1004,+0.0000
CNN_LSTM,20,Wonjun_Yi,Yes,0.80349900,0.36115417,-0.44234483,nan,nan,+nan,0.0030,0.0030,+0.0000
CNN_LSTM,50,CalibrationDataset,No,0.80749900,0.80749900,+0.00000000,0.8034,0.8034,+0.0000,0.1271,0.1271,+0.0000
CNN_LSTM,50,DronePrint,Yes,0.80749900,0.03235027,-0.77514873,nan,nan,+nan,0.8467,0.8467,+0.0000
CNN_LSTM,50,Emo,Yes,0.80749900,0.28876451,-0.51873449,nan,nan,+nan,0.0251,0.0251,+0.0000
CNN_LSTM,50,ESC-50,Yes,0.80749900,0.91363108,+0.10613208,nan,nan,+nan,0.1610,0.1610,+0.0000
CNN_LSTM,50,Fusion,No,0.80749900,0.02000024,-0.78749876,0.9075,0.9779,+0.0704,0.0948,0.0948,+0.0000
CNN_LSTM,50,H-2,Yes,0.80749900,0.02025351,-0.78724549,nan,nan,+nan,0.8408,0.8408,+0.0000
CNN_LSTM,50,S&E,No,0.80749900,0.17770659,-0.62979241,0.0000,0.0000,+0.0000,0.2914,0.2914,+0.0000
CNN_LSTM,50,Authors,No,0.80749900,0.03870172,-0.76879728,0.0000,0.5946,+0.5946,0.7864,0.7864,+0.0000
CNN_LSTM,50,UrbanSound,Yes,0.80749900,0.97993878,+0.17243978,nan,nan,+nan,0.0974,0.0974,+0.0000
CNN_LSTM,50,Wonjun_Yi,Yes,0.80749900,0.02000024,-0.78749876,nan,nan,+nan,0.0640,0.0640,+0.0000
CNN_LSTM,5,CalibrationDataset,No,0.23200100,0.23392797,+0.00192697,0.7865,0.7871,+0.0006,0.1981,0.1981,+0.0000
